
1655956079777 :: history :: {'symbol': 'NSE:SUNPHARMA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956079893 :: {'s': 'ok', 'candles': [[1655955900, 809.5, 816.2, 808.5, 810.9, 33955]]}
1655956817363 :: history :: {'symbol': 'NSE:BANDHANBNK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956817445 :: {'s': 'ok', 'candles': [[1655955900, 282.45, 284.75, 281.85, 282.6, 347699], [1655956500, 282.8, 283.7, 282.65, 283.3, 85344]]}

1655956817755 :: history :: {'symbol': 'NSE:AXISBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956817857 :: {'s': 'ok', 'candles': [[1655955900, 627.4, 631.0, 626.15, 630.85, 429670], [1655956500, 631.0, 633.0, 631.0, 632.05, 140588]]}

1655956818169 :: history :: {'symbol': 'NSE:GRASIM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956818283 :: {'s': 'ok', 'candles': [[1655955900, 1334.0, 1334.0, 1321.35, 1327.55, 27463], [1655956500, 1327.55, 1330.45, 1323.25, 1323.5, 11868]]}

1655956818595 :: history :: {'symbol': 'NSE:TECHM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956818675 :: {'s': 'ok', 'candles': [[1655955900, 981.1, 994.7, 980.1, 992.5, 161559], [1655956500, 992.6, 994.85, 989.45, 990.9, 32942]]}

1655956818989 :: history :: {'symbol': 'NSE:HINDALCO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956819071 :: {'s': 'ok', 'candles': [[1655955900, 317.0, 320.9, 315.5, 318.1, 1189215], [1655956500, 318.05, 319.0, 317.1, 317.65, 245968]]}

1655956819379 :: history :: {'symbol': 'NSE:UPL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956819458 :: {'s': 'ok', 'candles': [[1655955900, 613.0, 617.45, 608.0, 609.5, 355013], [1655956500, 609.4, 611.0, 607.5, 610.4, 122993]]}

