,SYMBOL,13-MAY-2022,16-MAY-2022,17-MAY-2022,18-MAY-2022,19-MAY-2022,20-MAY-2022,23-MAY-2022,24-MAY-2022,25-MAY-2022,26-MAY-2022,30-MAY-2022,31-MAY-2022,01-JUN-2022,V AVERAGE
28,HCLTECH,0.3382,0.3362,0.3401,0.3382,0.3477,0.3477,0.3477,0.3496,0.3496,0.3477,0.3515,0.3496,0.3496,0.346
46,HDFCBANK,0.3477,0.3477,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3439,0.346
87,LT,0.3305,0.3305,0.3343,0.3343,0.3343,0.3382,0.3382,0.3362,0.3401,0.3382,0.342,0.3401,0.3401,0.337
27,INFY,0.3286,0.3286,0.3286,0.3286,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3401,0.3401,0.3401,0.335
71,SUNPHARMA,0.3324,0.3324,0.3305,0.3305,0.3305,0.3324,0.3324,0.3324,0.3305,0.3305,0.3305,0.3324,0.3324,0.332
23,PIDILITIND,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3267,0.3286,0.3267,0.3267,0.328
36,BERGEPAINT,0.3171,0.321,0.321,0.3191,0.3191,0.3191,0.3191,0.3191,0.3343,0.3343,0.3401,0.3401,0.3401,0.326
24,DRREDDY,0.3171,0.3152,0.3152,0.3152,0.3133,0.3305,0.3305,0.3286,0.3286,0.3286,0.3286,0.3267,0.3267,0.323
52,CIPLA,0.3229,0.3229,0.321,0.321,0.3229,0.3267,0.3248,0.3248,0.3248,0.3229,0.3229,0.3229,0.321,0.323
82,ITC,0.3171,0.3171,0.321,0.321,0.3229,0.3229,0.3229,0.3229,0.321,0.321,0.3191,0.3191,0.3191,0.321
30,BAJAJ-AUTO,0.321,0.321,0.321,0.321,0.321,0.3229,0.321,0.321,0.321,0.321,0.3191,0.3171,0.321,0.321
45,MARICO,0.3019,0.3019,0.3019,0.3057,0.3076,0.3095,0.3095,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076,0.306
18,HINDUNILVR,0.2961,0.2961,0.2961,0.2961,0.2961,0.298,0.298,0.2999,0.2999,0.2999,0.2999,0.298,0.2999,0.298
92,PGHH,0.2999,0.298,0.298,0.298,0.298,0.298,0.298,0.2961,0.2961,0.2961,0.298,0.2999,0.2999,0.298
47,BRITANNIA,0.2961,0.2961,0.298,0.2961,0.298,0.2999,0.2999,0.2999,0.298,0.298,0.298,0.298,0.2999,0.298
16,TCS,0.2789,0.2789,0.2789,0.2789,0.2885,0.2866,0.2866,0.2866,0.2923,0.2885,0.2923,0.2904,0.2904,0.286
69,DABUR,0.277,0.277,0.277,0.277,0.2808,0.2808,0.2808,0.2808,0.2808,0.2789,0.2808,0.2808,0.2808,0.279
29,NESTLEIND,0.2675,0.2675,0.2675,0.2656,0.2656,0.2732,0.2732,0.2732,0.2713,0.2732,0.2713,0.2713,0.2713,0.27
33,COLPAL,0.256,0.256,0.256,0.256,0.2579,0.2579,0.2579,0.2579,0.2579,0.2598,0.2598,0.2579,0.2579,0.258
