,SYMBOL,01-JUN-2022,02-JUN-2022,03-JUN-2022,06-JUN-2022,07-JUN-2022,08-JUN-2022,09-JUN-2022,10-JUN-2022,13-JUN-2022,14-JUN-2022,15-JUN-2022,16-JUN-2022,17-JUN-2022,20-JUN-2022,V AVERAGE
50,DIVISLAB,0.3859,0.3859,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3802,0.3802,0.3783,0.3783,0.3783,0.3783,0.381
42,TITAN,0.3802,0.3783,0.3783,0.3764,0.3821,0.3802,0.3802,0.3783,0.3783,0.3783,0.3764,0.3764,0.3859,0.384,0.38
8,EICHERMOT,0.3821,0.3821,0.3821,0.3802,0.3802,0.3783,0.3802,0.3783,0.3783,0.3764,0.3764,0.3764,0.3764,0.3764,0.379
19,TATACONSUM,0.3764,0.3745,0.3745,0.3725,0.3725,0.3725,0.3706,0.3706,0.3706,0.3706,0.3687,0.3687,0.3687,0.3687,0.371
7,SHREECEM,0.3687,0.3687,0.3725,0.3745,0.3725,0.3725,0.3725,0.3725,0.3706,0.3706,0.3687,0.3706,0.3725,0.3725,0.371
80,HDFCAMC,0.3725,0.3725,0.3725,0.3706,0.3706,0.3706,0.3687,0.3687,0.3687,0.3687,0.3687,0.3687,0.3668,0.3668,0.37
17,HDFCLIFE,0.3745,0.3725,0.3725,0.3725,0.3706,0.3706,0.3687,0.3687,0.3687,0.3687,0.3687,0.3687,0.3706,0.3687,0.37
61,HEROMOTOCO,0.3687,0.3706,0.3725,0.3725,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.3687,0.3687,0.3687,0.369
49,KOTAKBANK,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.3649,0.3687,0.3706,0.3687,0.3687,0.3706,0.3687,0.3687,0.368
34,WIPRO,0.3687,0.3668,0.3668,0.3649,0.3649,0.3649,0.363,0.3649,0.3668,0.3649,0.3649,0.3687,0.3725,0.3725,0.367
13,RELIANCE,0.3649,0.3668,0.3668,0.3668,0.3649,0.3649,0.3668,0.3687,0.3687,0.3668,0.3668,0.3668,0.3649,0.3649,0.366
31,ICICIGI,0.3554,0.3554,0.3554,0.3554,0.3592,0.3611,0.3611,0.3611,0.3592,0.3611,0.3611,0.3592,0.3592,0.3592,0.359
10,ULTRACEMCO,0.3515,0.3515,0.3592,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3554,0.3554,0.3554,0.3573,0.3573,0.356
12,ASIANPAINT,0.3573,0.3573,0.3554,0.3573,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3534,0.3534,0.3554,0.3554,0.356
37,ZYDUSLIFE,0.3592,0.3592,0.3573,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3534,0.3534,0.3534,0.3554,0.3534,0.356
