,SYMBOL,12-APR-2022,13-APR-2022,18-APR-2022,19-APR-2022,20-APR-2022,21-APR-2022,22-APR-2022,25-APR-2022,26-APR-2022,27-APR-2022,28-APR-2022,29-APR-2022,V AVERAGE
59,SRF,0.4509,0.4509,0.449,0.4509,0.449,0.449,0.449,0.449,0.449,0.449,0.4471,0.4471,0.449
93,NYKAA,0.449,0.449,0.4471,0.4451,0.4451,0.4451,0.4432,0.4547,0.4547,0.4528,0.4528,0.4509,0.449
60,COALINDIA,0.4318,0.4318,0.4318,0.4337,0.4318,0.4356,0.4356,0.4432,0.4432,0.4432,0.4432,0.4451,0.438
78,AXISBANK,0.4394,0.4375,0.4375,0.4356,0.4356,0.4337,0.4337,0.4337,0.4318,0.4318,0.4318,0.4394,0.435
15,UPL,0.4299,0.4299,0.428,0.428,0.428,0.426,0.426,0.426,0.4241,0.4241,0.426,0.4241,0.427
22,ICICIPRULI,0.4222,0.4222,0.4203,0.426,0.426,0.4241,0.4241,0.4241,0.4222,0.4222,0.4222,0.4222,0.423
85,PIIND,0.4241,0.4241,0.4241,0.4222,0.4222,0.4203,0.4203,0.4184,0.4184,0.4184,0.4165,0.4165,0.42
97,GAIL,0.4222,0.4203,0.4203,0.4203,0.4203,0.4184,0.4184,0.4203,0.4203,0.4184,0.4184,0.4165,0.42
2,AMBUJACEM,0.4069,0.4069,0.4069,0.4069,0.4108,0.4108,0.4108,0.4088,0.4088,0.4088,0.4069,0.4088,0.409
54,MUTHOOTFIN,0.4127,0.4108,0.4108,0.4108,0.4088,0.4088,0.4088,0.4069,0.4069,0.4088,0.4088,0.4088,0.409
53,BAJAJHLDNG,0.4012,0.4012,0.4088,0.4069,0.4069,0.4069,0.405,0.405,0.405,0.405,0.405,0.4146,0.406
11,GODREJCP,0.4012,0.4012,0.4012,0.4012,0.4031,0.4031,0.4012,0.405,0.4088,0.4069,0.4069,0.4069,0.404
79,SBIN,0.4069,0.405,0.405,0.4031,0.4031,0.4031,0.4031,0.4031,0.4031,0.4031,0.4031,0.4031,0.404
68,SBICARD,0.4012,0.4012,0.4012,0.4012,0.4012,0.3993,0.3993,0.3993,0.3993,0.3974,0.3974,0.3974,0.4
21,HDFC,0.3897,0.3897,0.3955,0.4012,0.4012,0.4012,0.4012,0.3993,0.3993,0.3974,0.3974,0.3955,0.397
90,ICICIBANK,0.3993,0.3993,0.3974,0.3974,0.3974,0.3955,0.3955,0.3955,0.3936,0.3936,0.3936,0.3936,0.396
14,GLAND,0.3936,0.3936,0.3917,0.3917,0.3917,0.3955,0.3974,0.3974,0.4012,0.3993,0.3993,0.3993,0.396
44,GRASIM,0.3974,0.3974,0.3974,0.3955,0.3955,0.3955,0.3955,0.3955,0.3955,0.3936,0.3936,0.3917,0.395
58,HAVELLS,0.3993,0.3993,0.3974,0.3974,0.3955,0.3955,0.3955,0.3936,0.3936,0.3936,0.3917,0.3917,0.395
51,M&M,0.3936,0.3936,0.3936,0.3917,0.3917,0.3917,0.3917,0.3917,0.3936,0.3936,0.3936,0.3917,0.393
48,LUPIN,0.3917,0.3917,0.3897,0.3897,0.3878,0.3878,0.3897,0.3917,0.3955,0.3955,0.3955,0.3936,0.392
5,BPCL,0.3897,0.3878,0.3878,0.3878,0.3897,0.3897,0.3897,0.3974,0.3955,0.3955,0.3955,0.3955,0.392
9,MARUTI,0.3897,0.3897,0.3897,0.3897,0.3917,0.3917,0.3917,0.3897,0.3897,0.3878,0.3878,0.3878,0.39
64,MCDOWELL-N,0.3917,0.3917,0.3897,0.3917,0.3897,0.3897,0.3878,0.3897,0.3917,0.3897,0.3897,0.3878,0.39
26,BOSCHLTD,0.3878,0.3878,0.3859,0.3878,0.3878,0.3878,0.3878,0.3878,0.3878,0.3878,0.3859,0.3859,0.387
62,TECHM,0.3859,0.384,0.3897,0.3897,0.3897,0.3878,0.3878,0.3878,0.3878,0.3878,0.3859,0.3859,0.387
38,DMART,0.3897,0.3878,0.3878,0.3859,0.3859,0.3859,0.384,0.384,0.3821,0.3821,0.3821,0.3821,0.385
67,TORNTPHARM,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3821,0.3802,0.3802,0.3783,0.3802,0.3783,0.381
49,KOTAKBANK,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3764,0.3764,0.3764,0.3745,0.3745,0.377
19,TATACONSUM,0.3745,0.3725,0.3725,0.3745,0.3745,0.3745,0.3745,0.3745,0.3764,0.3783,0.3783,0.3783,0.375
8,EICHERMOT,0.3725,0.3706,0.3706,0.3706,0.3725,0.3764,0.3764,0.3745,0.3764,0.3745,0.3745,0.3745,0.374
42,TITAN,0.3764,0.3745,0.3745,0.3745,0.3745,0.3725,0.3725,0.3725,0.3764,0.3764,0.3745,0.3745,0.374
17,HDFCLIFE,0.3687,0.3668,0.3668,0.3725,0.3725,0.3725,0.3745,0.3745,0.3745,0.3745,0.3764,0.3764,0.373
80,HDFCAMC,0.3668,0.3649,0.3649,0.3668,0.3668,0.3649,0.3649,0.3649,0.3687,0.3687,0.3668,0.3668,0.366
7,SHREECEM,0.3668,0.3649,0.3649,0.3649,0.3668,0.3668,0.3668,0.3649,0.3649,0.3649,0.3649,0.3649,0.366
61,HEROMOTOCO,0.3668,0.3649,0.3649,0.363,0.363,0.363,0.363,0.3611,0.3668,0.3687,0.3687,0.3687,0.365
37,ZYDUSLIFE,0.3611,0.3611,0.3592,0.3592,0.3592,0.3592,0.3592,0.3611,0.3611,0.3611,0.3611,0.3611,0.36
25,BHARTIARTL,0.3611,0.3611,0.3611,0.3592,0.3611,0.3592,0.3592,0.3573,0.3573,0.3573,0.3573,0.3554,0.359
34,WIPRO,0.3592,0.3592,0.3611,0.3611,0.3611,0.3592,0.3592,0.3573,0.3573,0.3573,0.3573,0.3573,0.359
1,ACC,0.3458,0.3458,0.3477,0.3515,0.363,0.3649,0.363,0.363,0.363,0.363,0.363,0.363,0.358
13,RELIANCE,0.3554,0.3554,0.3534,0.3573,0.3573,0.3592,0.3573,0.3573,0.3592,0.3592,0.3592,0.3573,0.357
20,IOC,0.3534,0.3534,0.3515,0.3515,0.3515,0.3515,0.3515,0.3573,0.3554,0.3554,0.3554,0.3573,0.354
31,ICICIGI,0.3496,0.3496,0.3496,0.3477,0.3477,0.3496,0.3573,0.3573,0.3573,0.3554,0.3554,0.3592,0.353
74,SIEMENS,0.3534,0.3534,0.3515,0.3534,0.3515,0.3515,0.3515,0.3534,0.3534,0.3515,0.3515,0.3496,0.352
10,ULTRACEMCO,0.3534,0.3515,0.3515,0.3515,0.3534,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3496,0.352
