SYMBOL,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency
LT,EQ,1704.35,1698.6,1730.75,1692.4,1730.0,1720.9,1710.29,2029747,347145709980000.0,104138,1208878,0.5956,0
LT,EQ,1716.2,1700.2,1735.0,1699.95,1700.0,1704.35,1715.87,1820374,312352627925000.0,76514,1019543,0.5601,0
KOTAKBANK,EQ,2001.45,2017.0,2027.65,1996.1,2016.1,2010.95,2008.43,3866888,776638591905000.0,101763,2179400,0.5636,0
KOTAKBANK,EQ,2007.95,1990.0,2037.2,1981.35,1996.5,2001.45,2007.91,5881089,1180869730560000.0,166070,2788037,0.47409999999999997,0
ITC,EQ,231.15,231.0,239.35,230.25,232.95,233.75,235.83,70390969,1660052683540000.0,419200,24057714,0.3418,0
ITC,EQ,233.75,234.95,242.45,231.7,241.55,241.5,237.79,56671832,1347621971975000.0,327928,19197880,0.33880000000000005,0
IOC,EQ,114.6,114.55,115.65,113.35,114.95,115.0,114.6,9380594,107499354305000.0,44478,3366623,0.3589,0
IOC,EQ,118.25,116.5,117.7,114.4,114.8,114.6,115.89,9170924,106280365450000.0,48199,3139872,0.34240000000000004,0
INFY,EQ,1691.3,1685.0,1707.7,1677.95,1687.4,1687.85,1695.88,5660743,959996433420000.1,136341,3898202,0.6886,0
INFY,EQ,1687.85,1700.0,1726.75,1684.65,1717.7,1718.45,1707.5,4672222,797783867460000.0,138846,2854317,0.6109,0
INDUSTOWER,EQ,268.75,267.9,274.15,261.5,261.7,263.05,267.78,5364134,143642420255000.0,45956,960584,0.1791,0
INDUSTOWER,EQ,263.05,268.0,274.55,263.75,270.4,270.85,269.35,9607647,258783117130000.03,84666,1033266,0.1075,0
INDUSINDBK,EQ,1089.95,1091.0,1143.15,1085.0,1140.0,1137.55,1115.11,6332732,706167808525000.0,144065,1774924,0.2803,0
INDUSINDBK,EQ,1130.0,1115.0,1132.4,1084.6,1089.0,1089.95,1110.82,2954179,328155267650000.0,72840,815838,0.2762,0
INDIGO,EQ,2169.5,2175.0,2249.55,2140.2,2232.0,2236.25,2191.66,2496310,547106464355000.0,68717,1053856,0.4222,0
INDIGO,EQ,2196.05,2196.05,2204.5,2141.25,2162.1,2169.5,2173.79,2860263,621761969135000.0,86169,1083150,0.3787,0
IGL,EQ,543.45,540.0,551.4,535.2,550.2,549.4,543.25,2536603,137801916465000.02,63963,1448343,0.5710000000000001,0
IGL,EQ,561.35,553.15,558.4,537.5,540.0,543.45,550.83,1902041,104770085795000.0,54054,881714,0.4636,0
ICICIPRULI,EQ,678.55,677.0,696.6,670.4,691.0,692.3,685.39,1011972,69359832604999.99,22636,529360,0.5231,0
ICICIPRULI,EQ,703.55,693.0,702.0,676.0,676.25,678.55,689.12,517449,35658230730000.0,18268,160381,0.3099,0
ICICIGI,EQ,1628.15,1624.0,1642.0,1605.2,1640.0,1638.05,1626.22,528009,85866129830000.0,21183,320134,0.6063000000000001,0
ICICIGI,EQ,1603.95,1589.4,1657.0,1582.0,1619.95,1628.15,1632.53,1223575,199752550385000.0,58139,543864,0.44450000000000006,0
ICICIBANK,EQ,720.15,710.0,720.4,706.5,706.65,710.0,713.7,7943459,566922655090000.0,160953,4501482,0.5667,0
ICICIBANK,EQ,710.0,711.15,714.5,694.4,713.95,711.85,704.45,10009615,705124014885000.0,216828,5258825,0.5254,0
HINDZINC,EQ,334.75,322.5,336.75,322.0,324.0,323.25,328.18,989401,32470215150000.0,17107,452716,0.4576,0
HINDZINC,EQ,323.25,324.1,324.4,312.3,318.95,318.6,316.79,855536,27102701145000.0,17386,364668,0.42619999999999997,0
HINDUNILVR,EQ,2722.25,2720.0,2809.0,2710.05,2800.6,2800.35,2789.11,2671330,745064289620000.0,107246,1444396,0.5407000000000001,0
HINDUNILVR,EQ,2800.35,2810.0,2859.3,2796.65,2807.95,2812.45,2832.53,2277437,645091532330000.0,107609,905879,0.39780000000000004,0
HINDPETRO,EQ,282.95,282.0,282.0,270.1,271.3,272.5,275.79,6278700,173159602095000.0,62294,3147061,0.5012,0
HINDPETRO,EQ,272.5,271.5,273.3,266.5,272.25,271.75,270.14,3413821,92219431405000.0,47408,1454581,0.4261,0
HINDALCO,EQ,444.4,445.0,452.45,438.8,451.0,451.0,445.58,18750888,835511142685000.0,160155,9149788,0.488,0
HINDALCO,EQ,473.05,462.0,464.0,442.4,444.0,444.4,451.07,18031539,813340647700000.0,209191,6450378,0.3577,0
HEROMOTOCO,EQ,2889.5,2890.0,2895.0,2814.4,2855.0,2850.45,2846.98,580932,165390235730000.0,40946,286552,0.4933,0
HEROMOTOCO,EQ,2932.1,2920.0,2920.0,2873.55,2890.0,2889.5,2892.41,442234,127912010745000.0,32547,211187,0.47750000000000004,0
HDFCLIFE,EQ,730.15,729.7,737.7,724.25,736.1,735.8,731.33,1850978,135367292334999.98,59178,1018795,0.5504,0
HDFCLIFE,EQ,747.75,739.05,746.9,727.0,727.6,730.15,737.38,1447672,106748780320000.0,50347,696778,0.48130000000000006,0
HDFCBANK,EQ,1559.85,1562.0,1568.65,1528.95,1553.5,1551.95,1544.53,7387498,1141020296340000.0,162406,4642760,0.6285000000000001,0
HDFCBANK,EQ,1582.15,1564.0,1581.7,1558.0,1559.75,1559.85,1569.06,4390805,688943748330000.0,144006,2618610,0.5964,0
HDFCAMC,EQ,3268.8,3255.0,3259.95,3152.05,3220.0,3217.75,3216.83,620651,199652986300000.0,30636,322617,0.5197999999999999,0
HDFCAMC,EQ,3217.75,3210.0,3233.0,3151.9,3201.0,3203.95,3193.45,219468,70085965735000.0,19269,72495,0.33030000000000004,0
HDFC,EQ,2742.5,2760.0,2780.7,2724.75,2773.2,2774.35,2752.91,2119275,583417138750000.0,100753,1318742,0.6223,0
HDFC,EQ,2825.65,2795.3,2808.65,2733.0,2742.0,2742.5,2768.02,2057743,569587294270000.0,96538,1252505,0.6087,0
HCLTECH,EQ,1263.3,1258.0,1298.8,1250.0,1270.4,1276.15,1283.55,5453683,700006154585000.0,116200,2694469,0.4941,0
HCLTECH,EQ,1276.15,1289.0,1315.0,1277.0,1298.8,1299.5,1295.88,4645597,602013126940000.0,167229,1664606,0.3583,0
GRASIM,EQ,1568.8,1565.0,1567.55,1528.55,1540.0,1535.6,1546.7,774163,119740111465000.02,30242,366326,0.4732,0
GRASIM,EQ,1535.6,1535.0,1565.0,1526.7,1555.75,1557.15,1552.48,768602,119323606384999.98,36752,190728,0.2481,0
GODREJCP,EQ,1079.65,1076.55,1086.9,1067.05,1082.75,1080.45,1075.49,938081,100889912465000.0,30966,500573,0.5336,0
GODREJCP,EQ,1090.6,1086.0,1102.5,1072.5,1079.0,1079.65,1086.72,737707,80167974425000.0,24919,345809,0.46880000000000005,0
GICRE,EQ,145.9,144.5,146.2,143.55,144.45,144.75,144.74,514251,7443194665000.001,8998,251863,0.48979999999999996,0
GICRE,EQ,147.8,147.0,147.3,144.15,146.05,145.9,146.03,773605,11296673550000.0,16549,355930,0.4601,0
GAIL,EQ,149.8,149.8,152.0,145.0,150.55,150.0,150.02,8663366,129966476645000.0,49448,3191195,0.36840000000000006,0
GAIL,EQ,154.1,152.0,154.6,148.55,149.0,149.8,152.18,5998449,91282189320000.0,33558,2127047,0.3546,0
EICHERMOT,EQ,2898.55,2856.1,2858.55,2756.65,2804.25,2813.0,2810.57,1190719,334660113125000.0,64638,514511,0.43210000000000004,0
EICHERMOT,EQ,2813.0,2810.0,2859.9,2788.8,2846.85,2854.4,2826.9,595121,168234728975000.0,37851,225379,0.3787,0
DRREDDY,EQ,4774.95,4768.75,4864.0,4745.25,4845.0,4853.65,4814.49,340390,163880267980000.0,38723,176730,0.5192,0
DRREDDY,EQ,4884.55,4875.0,4885.55,4748.2,4749.75,4774.95,4824.01,332066,160188926250000.0,35544,145850,0.43920000000000003,0
DMART,EQ,4239.65,4208.0,4430.0,4151.0,4428.0,4355.9,4272.7,438432,187328648595000.0,64141,162530,0.37070000000000003,0
DMART,EQ,4355.9,4415.1,4450.0,4305.05,4340.3,4361.95,4372.85,437837,191459624755000.0,64647,157827,0.3605,0
DLF,EQ,323.0,324.35,333.6,319.55,330.65,330.7,327.41,12090071,395838943155000.0,101821,3093265,0.2559,0
DLF,EQ,334.75,329.0,337.45,320.1,320.75,323.0,330.38,5888573,194545740675000.0,48124,1189758,0.20199999999999999,0
DABUR,EQ,645.65,647.95,652.15,645.0,651.4,651.3,648.98,785138,50953588885000.0,28040,244736,0.31170000000000003,0
DABUR,EQ,653.95,654.85,658.4,643.0,644.5,645.65,652.0,2804783,182873110745000.0,59104,638495,0.22760000000000002,0
CONCOR,EQ,708.0,705.9,708.7,686.0,703.55,703.3,700.05,1409360,98662337025000.0,42810,435999,0.3094,0
CONCOR,EQ,723.65,712.0,731.35,696.5,701.85,708.0,717.42,1058006,75903979865000.0,27125,237553,0.2245,0
COLPAL,EQ,1726.75,1722.0,1738.8,1714.05,1734.0,1732.45,1728.12,349084,60325928510000.0,18412,157685,0.45170000000000005,0
COLPAL,EQ,1732.55,1722.55,1740.0,1720.0,1720.7,1726.75,1729.77,236735,40949600265000.0,12710,82034,0.3465,0
CADILAHC,EQ,557.2,556.35,559.9,541.5,543.85,546.0,553.31,2010263,111229967905000.0,28121,830674,0.4132,0
CADILAHC,EQ,546.0,546.0,552.85,533.55,551.0,550.8,545.4,1946973,106188341365000.0,28669,547089,0.281,0
BRITANNIA,EQ,4084.5,4062.2,4111.55,4053.0,4072.9,4075.55,4076.51,424258,172949094635000.0,24140,313376,0.7386,0
BRITANNIA,EQ,4051.85,4035.0,4115.0,4000.0,4068.05,4084.5,4087.43,291097,118983866400000.0,24488,105428,0.3622,0
BPCL,EQ,420.4,419.9,423.9,412.8,414.2,413.8,416.65,11481738,478391601939999.94,137634,6597393,0.5746,0
BPCL,EQ,436.25,431.05,433.65,418.95,419.5,420.4,426.0,7372138,314052971520000.0,118332,4037912,0.5477000000000001,0
BOSCHLTD,EQ,15154.55,15120.0,15275.0,14859.0,15167.0,15173.9,15128.09,47581,71980975705000.0,9172,20202,0.42460000000000003,0
BOSCHLTD,EQ,15076.0,15060.25,15429.95,14910.1,15109.0,15154.55,15218.15,65331,99421722060000.0,16636,24170,0.37,0
BIOCON,EQ,377.4,376.0,376.0,359.0,359.85,360.4,366.91,3169722,116298780970000.0,40680,892272,0.2815,0
BIOCON,EQ,360.4,364.0,369.15,356.0,366.5,367.25,363.56,2727117,99146096435000.0,36914,469544,0.1722,0
BHARTIARTL,EQ,728.15,725.0,733.7,720.3,721.25,724.95,727.07,14066795,1022752667100000.0,127537,7929458,0.5637,0
BHARTIARTL,EQ,724.95,722.9,740.75,722.0,726.5,726.65,729.51,13954874,1018020979135000.0,186316,5393263,0.3865,0
BERGEPAINT,EQ,813.55,813.55,817.8,806.4,817.0,815.3,811.82,595224,48321266435000.0,25862,345194,0.5799000000000001,0
BERGEPAINT,EQ,818.75,818.3,826.15,809.75,814.55,813.55,818.63,386714,31657540614999.996,17472,121767,0.3149,0
BANKBARODA,EQ,82.3,81.4,82.15,78.0,78.1,78.25,80.09,30466537,244006216725000.0,75422,9298683,0.3052,0
BANKBARODA,EQ,78.25,78.5,79.1,76.9,78.6,78.65,78.07,24543270,191602093925000.0,67381,4986798,0.20320000000000002,0
BANDHANBNK,EQ,287.25,285.0,289.0,280.4,281.6,281.2,284.45,3408098,96943528930000.0,40737,1149132,0.3372,0
BANDHANBNK,EQ,281.2,281.6,283.35,274.45,280.15,280.4,278.23,4293229,119449835359999.98,48346,1278695,0.2978,0
BAJFINANCE,EQ,7442.45,7481.15,7847.1,7401.0,7820.0,7813.85,7633.73,1993133,1521503041140000.0,155330,545472,0.2737,0
BAJFINANCE,EQ,7428.8,7360.0,7581.0,7320.75,7428.0,7442.45,7468.86,1083806,809479965945000.0,97599,203797,0.188,0
BAJAJFINSV,EQ,17018.95,17100.0,17655.0,16814.05,17589.05,17587.25,17291.78,384694,665204352585000.0,68602,56060,0.1457,0
BAJAJFINSV,EQ,16840.2,16775.05,17334.0,16700.1,17018.6,17018.95,17101.59,325204,556150670205000.0,58369,38441,0.1182,0
BAJAJ-AUTO,EQ,3776.05,3777.0,3793.85,3696.0,3732.0,3728.8,3724.21,354217,131917761555000.0,37438,146656,0.414,0
BAJAJ-AUTO,EQ,3822.2,3813.4,3813.4,3735.0,3778.45,3776.05,3774.15,399648,150833136430000.0,34028,152809,0.3824,0
AUROPHARMA,EQ,746.2,740.0,743.65,708.0,712.0,712.4,727.69,2932150,213370017135000.0,93315,1324428,0.45170000000000005,0
AUROPHARMA,EQ,712.4,713.0,729.6,707.1,725.2,726.4,719.94,2664801,191850130380000.0,82943,802251,0.3011,0
ASIANPAINT,EQ,3303.05,3299.95,3315.0,3265.0,3273.6,3271.55,3289.84,689288,226764963585000.0,55756,357657,0.5189,0
ASIANPAINT,EQ,3271.55,3271.55,3335.0,3271.0,3308.0,3309.2,3309.13,922057,305120377175000.0,58167,386413,0.4191,0
AMBUJACEM,EQ,419.8,416.9,419.2,408.25,409.0,409.8,414.17,4182620,173233358020000.0,54563,2083091,0.498,0
AMBUJACEM,EQ,409.8,407.75,414.0,402.4,413.5,413.2,408.14,4386443,179026623950000.0,55405,2136494,0.48710000000000003,0
ALKEM,EQ,3824.95,3804.0,3820.0,3744.95,3790.0,3787.7,3781.05,110948,41950015430000.0,9524,52706,0.47509999999999997,0
ALKEM,EQ,3787.7,3784.7,3869.0,3758.45,3851.0,3858.8,3829.26,83455,31957088600000.0,10908,26421,0.3166,0
ADANIPORTS,EQ,748.9,754.0,758.8,734.05,752.85,749.6,746.34,7766479,579642529850000.0,82405,2611503,0.33630000000000004,0
ADANIPORTS,EQ,767.1,759.8,776.0,746.1,747.5,748.9,761.87,5570433,424396187265000.0,84484,1093989,0.19640000000000002,0
ACC,EQ,2325.95,2325.95,2339.9,2284.0,2337.4,2332.3,2312.77,567297,131202950984999.98,24749,241874,0.4264,0
ACC,EQ,2394.85,2378.0,2390.0,2320.0,2330.5,2325.95,2351.19,299170,70340462020000.01,13979,124172,0.41509999999999997,0
ABBOTINDIA,EQ,20480.6,20480.5,20887.95,20161.4,20560.0,20559.3,20576.93,12344,25400156350000.0,5794,4369,0.3539,0
ABBOTINDIA,EQ,20559.3,20486.5,20850.0,20300.0,20766.0,20786.45,20671.74,6756,13965827830000.002,3337,2378,0.35200000000000004,0
