,SYMBOL,01-SEP-2021,02-SEP-2021,03-SEP-2021,06-SEP-2021,07-SEP-2021,08-SEP-2021,09-SEP-2021,13-SEP-2021,14-SEP-2021,15-SEP-2021,16-SEP-2021,17-SEP-2021,20-SEP-2021,V AVERAGE
28,M&M,0.426,0.426,0.426,0.4241,0.4241,0.4222,0.4222,0.4203,0.4203,0.4184,0.4184,0.4165,0.4165,0.422
19,BPCL,0.4222,0.4203,0.4222,0.4203,0.4203,0.4203,0.4184,0.4184,0.4165,0.4165,0.4165,0.4146,0.4165,0.419
12,HAVELLS,0.4165,0.4184,0.4184,0.4165,0.4165,0.4146,0.4146,0.4146,0.4127,0.4127,0.4108,0.4108,0.4146,0.415
18,LUPIN,0.4127,0.4108,0.4108,0.4088,0.4088,0.4069,0.4069,0.405,0.405,0.4031,0.4031,0.4031,0.4031,0.407
22,BHARTIARTL,0.4088,0.4088,0.4069,0.4069,0.4069,0.405,0.4069,0.405,0.405,0.4088,0.4069,0.4069,0.405,0.407
43,ICICIGI,0.405,0.405,0.4031,0.4069,0.405,0.405,0.405,0.4031,0.4031,0.4012,0.4012,0.3993,0.3993,0.403
47,EICHERMOT,0.405,0.405,0.405,0.405,0.4031,0.4031,0.4031,0.4012,0.4012,0.3993,0.3993,0.3974,0.3993,0.402
88,GODREJCP,0.4031,0.405,0.4031,0.4031,0.4012,0.4012,0.3993,0.3993,0.3974,0.3974,0.3974,0.3955,0.3955,0.4
29,HDFC,0.405,0.4031,0.4031,0.4012,0.4031,0.4012,0.4012,0.3993,0.3993,0.3974,0.3974,0.3955,0.3974,0.4
85,SBICARD,0.4012,0.4012,0.3993,0.3993,0.3993,0.3993,0.3974,0.3974,0.3974,0.3974,0.3955,0.3955,0.3936,0.398
53,BOSCHLTD,0.4012,0.3993,0.3993,0.3993,0.3974,0.3974,0.3955,0.3955,0.3936,0.3936,0.3974,0.3974,0.3955,0.397
24,KOTAKBANK,0.3955,0.3955,0.3955,0.3936,0.3936,0.3936,0.3936,0.3936,0.3917,0.3917,0.3917,0.3974,0.3955,0.394
95,TATACONSUM,0.3974,0.3974,0.3955,0.3955,0.3936,0.3936,0.3917,0.3917,0.3897,0.3897,0.3878,0.3878,0.3878,0.392
75,OFSS,0.3955,0.3955,0.3955,0.3936,0.3936,0.3936,0.3917,0.3917,0.3917,0.3897,0.3897,0.3878,0.3878,0.392
10,GRASIM,0.3955,0.3955,0.3936,0.3936,0.3936,0.3936,0.3917,0.3917,0.3897,0.3897,0.3897,0.3878,0.3878,0.392
20,IGL,0.3917,0.3917,0.3917,0.3917,0.3897,0.3897,0.3878,0.3936,0.3917,0.3917,0.3917,0.3897,0.3917,0.391
58,BAJAJHLDNG,0.3936,0.3917,0.3917,0.3917,0.3917,0.3897,0.3897,0.3878,0.3878,0.3859,0.3859,0.3859,0.3859,0.389
61,TECHM,0.3897,0.3897,0.3878,0.3878,0.3878,0.3859,0.3859,0.384,0.384,0.384,0.3821,0.3821,0.3821,0.386
3,SHREECEM,0.3821,0.3917,0.3897,0.3897,0.3878,0.3878,0.3859,0.3859,0.384,0.384,0.384,0.3821,0.3821,0.386
45,COALINDIA,0.384,0.3821,0.384,0.384,0.3821,0.3821,0.3821,0.384,0.3821,0.3859,0.3859,0.3878,0.3859,0.384
32,CADILAHC,0.3897,0.3878,0.3878,0.3859,0.3859,0.384,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3802,0.384
99,HDFCLIFE,0.3783,0.3859,0.3878,0.3859,0.3859,0.384,0.384,0.3821,0.3821,0.3821,0.3802,0.3802,0.3802,0.383
63,WIPRO,0.3802,0.3802,0.3783,0.384,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3783,0.3783,0.3764,0.381
8,AMBUJACEM,0.384,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3802,0.3783,0.3783,0.3783,0.3783,0.3783,0.381
57,DMART,0.3821,0.3802,0.3802,0.3783,0.3783,0.3764,0.3764,0.3745,0.3745,0.3745,0.3745,0.3764,0.3783,0.377
77,HDFCAMC,0.3764,0.3764,0.3764,0.3745,0.3745,0.3802,0.3783,0.3783,0.3783,0.3764,0.3764,0.3745,0.3745,0.377
90,TITAN,0.3802,0.3783,0.3802,0.3783,0.3783,0.3783,0.3764,0.3764,0.3745,0.3764,0.3764,0.3745,0.3745,0.377
50,RELIANCE,0.3783,0.3764,0.3802,0.3802,0.3783,0.3783,0.3764,0.3764,0.3764,0.3745,0.3745,0.3745,0.3745,0.377
82,UBL,0.3802,0.3802,0.3783,0.3783,0.3764,0.3764,0.3745,0.3745,0.3725,0.3725,0.3725,0.3706,0.3706,0.375
23,MARUTI,0.3764,0.3745,0.3745,0.3725,0.3725,0.3706,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.371
27,SUNPHARMA,0.3745,0.3725,0.3725,0.3706,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3649,0.3649,0.3649,0.369
97,HEROMOTOCO,0.3706,0.3706,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.3668,0.3649,0.3649,0.3649,0.368
62,MCDOWELL-N,0.3706,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.3649,0.3649,0.3649,0.363,0.363,0.367
91,SBILIFE,0.3668,0.3668,0.3649,0.3649,0.3649,0.363,0.3668,0.3649,0.3649,0.3649,0.363,0.363,0.363,0.365
