,SYMBOL,04-APR-2022,05-APR-2022,06-APR-2022,07-APR-2022,08-APR-2022,11-APR-2022,12-APR-2022,13-APR-2022,18-APR-2022,19-APR-2022,20-APR-2022,21-APR-2022,22-APR-2022,V AVERAGE
8,EICHERMOT,0.384,0.384,0.384,0.3745,0.3745,0.3725,0.3725,0.3706,0.3706,0.3706,0.3725,0.3764,0.3764,0.376
67,TORNTPHARM,0.3477,0.3477,0.3477,0.3859,0.3859,0.384,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3821,0.375
19,TATACONSUM,0.3592,0.3611,0.3592,0.3764,0.3745,0.3745,0.3745,0.3725,0.3725,0.3745,0.3745,0.3745,0.3745,0.371
25,BHARTIARTL,0.3745,0.3745,0.3745,0.363,0.363,0.3611,0.3611,0.3611,0.3611,0.3592,0.3611,0.3592,0.3592,0.364
17,HDFCLIFE,0.3401,0.3362,0.3382,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3725,0.3725,0.3725,0.3745,0.363
7,SHREECEM,0.3458,0.3458,0.3458,0.3687,0.3687,0.3668,0.3668,0.3649,0.3649,0.3649,0.3668,0.3668,0.3668,0.362
80,HDFCAMC,0.3458,0.3439,0.3439,0.3687,0.3668,0.3668,0.3668,0.3649,0.3649,0.3668,0.3668,0.3649,0.3649,0.361
34,WIPRO,0.3515,0.3515,0.3515,0.3592,0.3592,0.3592,0.3592,0.3592,0.3611,0.3611,0.3611,0.3592,0.3592,0.358
13,RELIANCE,0.3611,0.3611,0.3611,0.3573,0.3573,0.3554,0.3554,0.3554,0.3534,0.3573,0.3573,0.3592,0.3573,0.358
61,HEROMOTOCO,0.3305,0.3286,0.3286,0.3668,0.3668,0.3668,0.3668,0.3649,0.3649,0.363,0.363,0.363,0.363,0.357
31,ICICIGI,0.3611,0.3611,0.3611,0.3515,0.3515,0.3515,0.3496,0.3496,0.3496,0.3477,0.3477,0.3496,0.3573,0.353
74,SIEMENS,0.3534,0.3515,0.3515,0.3554,0.3554,0.3534,0.3534,0.3534,0.3515,0.3534,0.3515,0.3515,0.3515,0.353
20,IOC,0.3401,0.3401,0.342,0.3515,0.3534,0.3534,0.3534,0.3534,0.3515,0.3515,0.3515,0.3515,0.3515,0.35
73,NTPC,0.3534,0.3554,0.3534,0.3458,0.3458,0.3458,0.3439,0.3439,0.3515,0.3515,0.3496,0.3496,0.3496,0.349
50,DIVISLAB,0.342,0.3401,0.3401,0.3515,0.3515,0.3496,0.3496,0.3496,0.3477,0.3496,0.3477,0.3477,0.3477,0.347
10,ULTRACEMCO,0.3305,0.3305,0.3305,0.3534,0.3534,0.3534,0.3534,0.3515,0.3515,0.3515,0.3534,0.3515,0.3515,0.347
81,POWERGRID,0.3439,0.3458,0.3458,0.3477,0.3477,0.3458,0.3458,0.3458,0.3439,0.3439,0.3439,0.342,0.342,0.345
1,ACC,0.3248,0.3248,0.3229,0.3458,0.3439,0.3458,0.3458,0.3458,0.3477,0.3515,0.363,0.3649,0.363,0.345
65,SBILIFE,0.3382,0.3382,0.3382,0.342,0.3458,0.3458,0.3458,0.3439,0.3458,0.3496,0.3477,0.3477,0.3477,0.344
28,HCLTECH,0.342,0.3401,0.342,0.342,0.342,0.3439,0.342,0.342,0.342,0.3439,0.3439,0.342,0.342,0.342
12,ASIANPAINT,0.3305,0.3305,0.3305,0.3439,0.3439,0.3439,0.3439,0.3439,0.3439,0.342,0.3439,0.3458,0.3439,0.341
46,HDFCBANK,0.3324,0.3095,0.3114,0.3477,0.3458,0.3458,0.3439,0.3439,0.3496,0.3534,0.3515,0.3515,0.3515,0.341
