,SYMBOL,06-SEP-2021,07-SEP-2021,08-SEP-2021,09-SEP-2021,13-SEP-2021,14-SEP-2021,15-SEP-2021,16-SEP-2021,17-SEP-2021,20-SEP-2021,21-SEP-2021,22-SEP-2021,V AVERAGE
90,TITAN,0.3783,0.3783,0.3783,0.3764,0.3764,0.3745,0.3764,0.3764,0.3745,0.3745,0.3725,0.3725,0.376
57,DMART,0.3783,0.3783,0.3764,0.3764,0.3745,0.3745,0.3745,0.3745,0.3764,0.3783,0.3764,0.3764,0.376
50,RELIANCE,0.3802,0.3783,0.3783,0.3764,0.3764,0.3764,0.3745,0.3745,0.3745,0.3745,0.3725,0.3725,0.376
77,HDFCAMC,0.3745,0.3745,0.3802,0.3783,0.3783,0.3783,0.3764,0.3764,0.3745,0.3745,0.3745,0.3725,0.376
82,UBL,0.3783,0.3764,0.3764,0.3745,0.3745,0.3725,0.3725,0.3725,0.3706,0.3706,0.3725,0.3725,0.374
23,MARUTI,0.3725,0.3725,0.3706,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.3668,0.3668,0.369
27,SUNPHARMA,0.3706,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3649,0.3649,0.3649,0.3649,0.363,0.367
97,HEROMOTOCO,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.3668,0.3649,0.3649,0.3649,0.3649,0.363,0.366
62,MCDOWELL-N,0.3687,0.3687,0.3668,0.3668,0.3668,0.3649,0.3649,0.3649,0.363,0.363,0.3611,0.363,0.365
91,SBILIFE,0.3649,0.3649,0.363,0.3668,0.3649,0.3649,0.3649,0.363,0.363,0.363,0.3611,0.3611,0.364
5,ULTRACEMCO,0.3668,0.3668,0.3649,0.3649,0.363,0.363,0.3611,0.3611,0.3611,0.3611,0.3592,0.3592,0.363
31,HCLTECH,0.363,0.3611,0.3611,0.3611,0.3592,0.3611,0.3611,0.3611,0.3592,0.3592,0.3592,0.3592,0.36
15,LT,0.3573,0.3573,0.3554,0.3554,0.3534,0.3534,0.3534,0.3515,0.3515,0.3515,0.3496,0.3496,0.353
2,SIEMENS,0.3554,0.3554,0.3554,0.3534,0.3534,0.3515,0.3515,0.3515,0.3496,0.3496,0.3496,0.3496,0.352
56,TORNTPHARM,0.3554,0.3554,0.3534,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3496,0.3477,0.3477,0.352
25,IOC,0.3534,0.3534,0.3534,0.3515,0.3515,0.3515,0.3496,0.3496,0.3496,0.3515,0.3496,0.3496,0.351
30,POWERGRID,0.3515,0.3515,0.3515,0.3496,0.3496,0.3477,0.3496,0.3477,0.3477,0.3458,0.3458,0.3458,0.349
41,CIPLA,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3477,0.3477,0.3477,0.3458,0.3458,0.3458,0.349
76,ASIANPAINT,0.3534,0.3515,0.3515,0.3496,0.3496,0.3477,0.3477,0.3458,0.3458,0.3458,0.3458,0.3439,0.348
36,PETRONET,0.3534,0.3515,0.3515,0.3496,0.3496,0.3477,0.3477,0.3477,0.3458,0.3458,0.3458,0.3458,0.348
64,DRREDDY,0.3477,0.3477,0.3458,0.3458,0.3439,0.3439,0.342,0.342,0.342,0.342,0.342,0.3401,0.344
34,NTPC,0.3401,0.3401,0.3382,0.3382,0.3362,0.3362,0.3477,0.3477,0.3458,0.3458,0.3458,0.3439,0.342
17,ACC,0.3439,0.342,0.342,0.3401,0.3401,0.3401,0.3401,0.3382,0.3382,0.3401,0.3401,0.3382,0.34
11,HDFCBANK,0.342,0.3401,0.3401,0.3382,0.3382,0.3382,0.3362,0.3362,0.3362,0.3343,0.3343,0.3343,0.337
49,BAJAJ-AUTO,0.3401,0.3401,0.3401,0.3382,0.3382,0.3382,0.3362,0.3362,0.3362,0.3343,0.3343,0.3343,0.337
44,DIVISLAB,0.3362,0.3362,0.3362,0.3362,0.3362,0.3343,0.3343,0.3343,0.3324,0.3324,0.3324,0.3305,0.334
80,BERGEPAINT,0.3324,0.3305,0.3305,0.3286,0.3286,0.3286,0.3267,0.3267,0.3267,0.3267,0.3248,0.3248,0.328
67,INFY,0.3305,0.3305,0.3286,0.3286,0.3286,0.3267,0.3267,0.3267,0.3248,0.3248,0.3248,0.3229,0.327
96,ALKEM,0.3248,0.3248,0.3229,0.3229,0.3229,0.321,0.321,0.321,0.321,0.3191,0.321,0.3191,0.322
93,ABBOTINDIA,0.3191,0.3191,0.3191,0.321,0.3248,0.3229,0.3229,0.3229,0.3229,0.3229,0.3229,0.3248,0.322
68,ITC,0.3152,0.3152,0.3152,0.3152,0.3133,0.3133,0.3133,0.3248,0.3229,0.3229,0.3248,0.3248,0.318
86,BRITANNIA,0.321,0.321,0.3191,0.3191,0.3171,0.3171,0.3171,0.3152,0.3152,0.3152,0.3133,0.3133,0.317
40,PIDILITIND,0.3152,0.3152,0.3133,0.3133,0.3152,0.3133,0.3133,0.3114,0.3114,0.3114,0.3133,0.3114,0.313
60,TCS,0.3095,0.3095,0.3095,0.3095,0.3095,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076,0.3057,0.308
79,NESTLEIND,0.2999,0.298,0.2999,0.3019,0.3019,0.3019,0.2999,0.2999,0.2999,0.298,0.298,0.298,0.3
92,HINDUNILVR,0.2942,0.2942,0.2942,0.2923,0.2923,0.2923,0.2923,0.2904,0.2904,0.2923,0.2923,0.2923,0.292
69,COLPAL,0.2942,0.2942,0.2942,0.2942,0.2942,0.2923,0.2923,0.2923,0.2904,0.2904,0.2904,0.2885,0.292
59,MARICO,0.2923,0.2923,0.2904,0.2923,0.2923,0.2942,0.2942,0.2923,0.2923,0.2923,0.2923,0.2904,0.292
94,PGHH,0.2675,0.2694,0.2694,0.2713,0.2713,0.2732,0.2713,0.2713,0.2713,0.2713,0.2713,0.2694,0.271
84,DABUR,0.2617,0.2617,0.2598,0.2598,0.2598,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.259
