SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Volume,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,3 day price
ONGC,2022-05-30,EQ,143.8,145.65,147.3,141.15,143.9,40261336,16331675,40.56,-,0,0
ONGC,2022-05-31,EQ,144.05,145.4,153.0,145.4,151.55,57675204,24435250,42.37,-,0,0
ONGC,2022-06-01,EQ,151.25,151.2,152.9,148.75,150.1,22780094,8198890,35.99,-,0,0
NYKAA,2022-05-30,EQ,1351.45,1351.0,1425.6,1332.5,1398.0,1398061,296637,21.22,-,0,0
NYKAA,2022-05-31,EQ,1401.45,1400.0,1506.8,1382.45,1481.8,1539314,515814,33.51,-,0,0
NYKAA,2022-06-01,EQ,1494.55,1500.8,1543.0,1420.25,1460.0,1248222,328187,26.290000000000003,-,0,0
NTPC,2022-05-30,EQ,150.45,150.05,152.5,148.8,151.1,12513990,5542924,44.29,-,0,0
NTPC,2022-05-31,EQ,150.9,151.1,158.0,150.35,157.6,124665699,76441154,61.31999999999999,-,0,0
NTPC,2022-06-01,EQ,156.0,156.45,160.2,156.25,157.05,16084988,6927741,43.07,-,0,0
NESTLEIND,2022-05-30,EQ,17641.05,17700.0,17986.9,17634.85,17770.05,52058,25648,49.27,-,0,0
NESTLEIND,2022-05-31,EQ,17706.9,17705.05,18157.6,17457.0,17699.95,359537,256531,71.35,-,0,0
NESTLEIND,2022-06-01,EQ,17691.5,17580.0,17848.45,17180.1,17250.0,58247,23722,40.73,-,0,0
NAUKRI,2022-05-30,EQ,3693.3,3760.0,3876.85,3720.0,3800.0,536609,124364,23.18,-,0,0
NAUKRI,2022-05-31,EQ,3805.15,3805.0,4185.65,3775.05,4185.65,2501052,822701,32.89,-,0,0
NAUKRI,2022-06-01,EQ,4164.4,4195.0,4225.0,4030.1,4089.85,781430,175626,22.47,-,0,0
MUTHOOTFIN,2022-05-30,EQ,1096.15,1100.0,1125.0,1100.0,1120.0,722748,268279,37.12,-,0,0
MUTHOOTFIN,2022-05-31,EQ,1120.05,1125.65,1151.4,1116.2,1139.7,673088,292853,43.51,-,0,0
MUTHOOTFIN,2022-06-01,EQ,1143.1,1145.0,1151.0,1105.55,1117.7,499614,172474,34.52,-,0,0
MINDTREE,2022-05-30,EQ,2866.4,2911.5,3029.0,2911.5,3020.0,714870,134584,18.83,-,0,0
MINDTREE,2022-05-31,EQ,3007.4,3007.4,3068.15,2968.0,3050.0,965340,457101,47.35,-,0,0
MINDTREE,2022-06-01,EQ,3047.65,3050.0,3066.0,2987.05,3003.7,511770,185101,36.17,-,0,0
MCDOWELL-N,2022-05-30,EQ,777.8,799.0,830.8,780.55,824.6,3971701,1342323,33.8,-,0,0
MCDOWELL-N,2022-05-31,EQ,822.65,810.0,825.85,805.35,808.15,1981144,1120709,56.57,-,0,0
MCDOWELL-N,2022-06-01,EQ,809.4,812.7,821.0,791.9,802.0,1025708,450834,43.95,-,0,0
