
1655266021744 :: history :: {'symbol': 'NSE:IOC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266021846 :: {'s': 'ok', 'candles': [[1655264700, 111.0, 111.0, 109.5, 109.7, 1091737], [1655265300, 109.7, 109.8, 109.1, 109.15, 600604], [1655265900, 109.2, 109.2, 109.05, 109.15, 103746]]}

1655266022159 :: history :: {'symbol': 'NSE:JINDALSTEL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266022241 :: {'s': 'ok', 'candles': [[1655264700, 351.8, 354.95, 349.6, 349.8, 505868], [1655265300, 349.8, 350.3, 347.7, 348.8, 247852], [1655265900, 348.85, 349.2, 348.45, 348.85, 32020]]}

1655266022548 :: history :: {'symbol': 'NSE:BIOCON-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266022646 :: {'s': 'ok', 'candles': [[1655264700, 331.8, 331.8, 324.0, 325.0, 434297], [1655265300, 325.15, 326.9, 325.0, 326.2, 127819], [1655265900, 326.2, 326.35, 324.55, 325.05, 23543]]}

1655266022959 :: history :: {'symbol': 'NSE:BPCL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266023055 :: {'s': 'ok', 'candles': [[1655264700, 316.85, 316.85, 312.55, 313.35, 256257], [1655265300, 313.35, 313.5, 311.05, 311.2, 200857], [1655265900, 311.35, 311.35, 310.2, 310.55, 75471]]}

1655266023368 :: history :: {'symbol': 'NSE:INDIGO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266023460 :: {'s': 'ok', 'candles': [[1655264700, 1742.9, 1755.45, 1742.9, 1751.65, 19657], [1655265300, 1752.6, 1754.95, 1749.15, 1753.6, 9224], [1655265900, 1753.6, 1753.65, 1750.15, 1751.0, 1332]]}

1655266023773 :: history :: {'symbol': 'NSE:CIPLA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266023878 :: {'s': 'ok', 'candles': [[1655264700, 965.0, 972.55, 965.0, 968.35, 135054], [1655265300, 968.8, 970.0, 964.0, 966.4, 80622], [1655265900, 966.4, 966.4, 965.05, 965.25, 6124]]}

1655266024191 :: history :: {'symbol': 'NSE:TATASTEEL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266024300 :: {'s': 'ok', 'candles': [[1655264700, 953.95, 974.25, 950.65, 954.2, 1907661], [1655265300, 953.85, 958.5, 952.0, 957.0, 765335], [1655265900, 957.15, 959.7, 956.9, 958.95, 106833]]}

1655266024611 :: history :: {'symbol': 'NSE:HDFC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266024703 :: {'s': 'ok', 'candles': [[1655264700, 2097.0, 2106.9, 2083.75, 2090.25, 709533], [1655265300, 2090.0, 2099.7, 2090.0, 2099.2, 184262], [1655265900, 2098.8, 2099.45, 2096.35, 2096.35, 17909]]}

1655266025011 :: history :: {'symbol': 'NSE:BANKBARODA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266025119 :: {'s': 'ok', 'candles': [[1655264700, 101.0, 102.1, 101.0, 101.8, 1768254], [1655265300, 101.8, 101.8, 101.25, 101.55, 675848], [1655265900, 101.6, 101.6, 101.3, 101.35, 100606]]}

1655266025429 :: history :: {'symbol': 'NSE:COALINDIA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266025507 :: {'s': 'ok', 'candles': [[1655264700, 192.15, 193.85, 191.25, 191.7, 566327], [1655265300, 191.7, 191.85, 190.6, 190.7, 398152], [1655265900, 190.75, 190.85, 190.6, 190.6, 31645]]}

1655266025818 :: history :: {'symbol': 'NSE:SBIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266025904 :: {'s': 'ok', 'candles': [[1655264700, 448.95, 452.8, 448.6, 451.0, 730985], [1655265300, 451.1, 451.8, 450.1, 451.5, 282315], [1655265900, 451.4, 451.8, 451.4, 451.4, 49929]]}

1655266026218 :: history :: {'symbol': 'NSE:ADANIPORTS-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266026302 :: {'s': 'ok', 'candles': [[1655264700, 710.9, 713.3, 704.1, 706.05, 338330], [1655265300, 705.65, 707.9, 704.0, 707.15, 147569], [1655265900, 707.15, 707.4, 705.0, 705.5, 22564]]}

1655266026615 :: history :: {'symbol': 'NSE:MARICO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266026709 :: {'s': 'ok', 'candles': [[1655264700, 500.8, 500.8, 494.0, 496.15, 75261], [1655265300, 496.45, 497.6, 494.8, 496.55, 27401], [1655265900, 496.9, 497.05, 496.05, 496.3, 3976]]}

1655266027023 :: history :: {'symbol': 'NSE:DLF-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266027105 :: {'s': 'ok', 'candles': [[1655264700, 315.8, 318.4, 314.7, 315.4, 392852], [1655265300, 315.1, 315.95, 314.25, 315.0, 146490], [1655265900, 315.0, 315.1, 314.0, 314.1, 29320]]}

1655266027420 :: history :: {'symbol': 'NSE:M&M-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266027514 :: {'s': 'ok', 'candles': [[1655264700, 1024.65, 1034.7, 1023.35, 1031.55, 268721], [1655265300, 1031.5, 1036.0, 1030.0, 1034.45, 164286], [1655265900, 1034.45, 1035.5, 1032.9, 1033.4, 18948]]}

1655266027826 :: history :: {'symbol': 'NSE:WIPRO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266027912 :: {'s': 'ok', 'candles': [[1655264700, 448.45, 450.65, 446.5, 447.15, 385678], [1655265300, 447.15, 447.7, 445.6, 446.75, 222089], [1655265900, 446.85, 447.05, 446.0, 446.1, 39729]]}
