,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
63,HEROMOTOCO,2021-09-29,EQ,2920.55,2915.0,2920.55,2865.5,2883.0,2886.15,2886.05,613787,177141745175000.0,33640,333212,54.290000000000006,-,0,0.364
70,HCLTECH,2021-09-28,EQ,1295.2,1304.95,1304.95,1254.0,1272.5,1269.0,1268.51,8572321,1087408704075000.0,301114,5862044,68.38,-,0,0.36
71,HCLTECH,2021-09-29,EQ,1269.0,1270.0,1301.45,1258.8,1282.6,1281.2,1277.58,4639821,592773573895000.0,169421,2295061,49.46,-,0,0.36
16,ULTRACEMCO,2021-09-28,EQ,7622.9,7629.9,7788.0,7550.0,7579.95,7588.3,7680.19,403030,309534834985000.0,55558,152578,37.86,-,0,0.359
17,ULTRACEMCO,2021-09-29,EQ,7588.3,7550.0,7661.35,7440.0,7460.0,7464.55,7474.02,490626,366695029420000.0,68822,300217,61.19,-,0,0.359
44,LT,2021-09-28,EQ,1739.6,1745.3,1759.05,1719.0,1734.0,1737.15,1737.8,1442615,250698119740000.0,72629,695266,48.19,-,0,0.351
45,LT,2021-09-29,EQ,1737.15,1732.0,1742.0,1716.6,1720.0,1721.0,1728.03,1698747,293548005690000.0,86217,1030722,60.68,-,0,0.351
50,IOC,2021-09-28,EQ,118.65,118.7,123.9,118.7,122.85,122.95,122.0,20386843,248718870095000.0,100551,7382789,36.21,-,0,0.35
51,IOC,2021-09-29,EQ,122.95,122.25,128.0,122.0,127.9,127.45,126.22,19848536,250522819040000.0,99284,5794190,29.19,-,0,0.35
32,POWERGRID,2021-09-28,EQ,176.0,176.85,188.9,176.1,183.8,183.95,184.29,29155220,537302266675000.0,194262,10123835,34.72,-,0,0.347
33,POWERGRID,2021-09-29,EQ,183.95,183.5,196.3,182.45,194.4,195.05,191.8,40264997,772275019925000.0,186057,15728942,39.06,-,0,0.347
82,CIPLA,2021-09-28,EQ,962.7,960.5,977.0,950.8,977.0,971.0,960.36,1542732,148158336675000.0,42111,803586,52.09,-,0,0.346
83,CIPLA,2021-09-29,EQ,971.0,970.5,1005.0,965.15,991.0,987.6,988.01,4052980,400438154070000.0,91334,1216272,30.010000000000005,-,0,0.346
96,ASIANPAINT,2021-09-28,EQ,3430.65,3424.9,3429.7,3350.0,3385.0,3379.7,3376.29,961271,324552619650000.0,99252,525188,54.63,-,0,0.346
