,SYMBOL,31-MAY-2022,01-JUN-2022,02-JUN-2022,03-JUN-2022,06-JUN-2022,07-JUN-2022,08-JUN-2022,09-JUN-2022,10-JUN-2022,13-JUN-2022,14-JUN-2022,15-JUN-2022,16-JUN-2022,17-JUN-2022,V AVERAGE
48,LUPIN,0.3993,0.3993,0.3974,0.3974,0.3955,0.3955,0.3936,0.3936,0.3917,0.3917,0.3917,0.3897,0.3897,0.3897,0.394
68,SBICARD,0.3974,0.3955,0.3955,0.3936,0.3936,0.3936,0.3936,0.3936,0.3917,0.3955,0.3936,0.3936,0.3936,0.3955,0.394
51,M&M,0.3955,0.3955,0.3936,0.3936,0.3936,0.3917,0.3917,0.3897,0.3897,0.3897,0.3897,0.3897,0.3897,0.3878,0.392
26,BOSCHLTD,0.3936,0.3936,0.3936,0.3936,0.3936,0.3936,0.3917,0.3917,0.3917,0.3917,0.3897,0.3897,0.3897,0.3897,0.392
67,TORNTPHARM,0.3955,0.3955,0.3936,0.3936,0.3917,0.3917,0.3897,0.3917,0.3897,0.3897,0.3878,0.3878,0.3878,0.3859,0.391
21,HDFC,0.3917,0.3897,0.3897,0.3897,0.3878,0.3878,0.3859,0.3859,0.3878,0.3878,0.3878,0.3859,0.3859,0.3859,0.388
58,HAVELLS,0.3897,0.3897,0.3878,0.3878,0.3878,0.3859,0.3859,0.3859,0.3859,0.3859,0.3878,0.3878,0.3878,0.3878,0.387
9,MARUTI,0.3878,0.3859,0.3859,0.3859,0.3859,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3802,0.3783,0.3783,0.383
90,ICICIBANK,0.3859,0.3859,0.384,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.384,0.384,0.3821,0.3821,0.3821,0.383
50,DIVISLAB,0.3859,0.3859,0.3859,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3802,0.3802,0.3783,0.3783,0.3783,0.382
5,BPCL,0.384,0.3821,0.3821,0.3821,0.3821,0.3821,0.3802,0.3821,0.3802,0.384,0.3821,0.3821,0.3802,0.3821,0.382
42,TITAN,0.3802,0.3802,0.3783,0.3783,0.3764,0.3821,0.3802,0.3802,0.3783,0.3783,0.3783,0.3764,0.3764,0.3859,0.379
8,EICHERMOT,0.384,0.3821,0.3821,0.3821,0.3802,0.3802,0.3783,0.3802,0.3783,0.3783,0.3764,0.3764,0.3764,0.3764,0.379
19,TATACONSUM,0.3764,0.3764,0.3745,0.3745,0.3725,0.3725,0.3725,0.3706,0.3706,0.3706,0.3706,0.3687,0.3687,0.3687,0.372
17,HDFCLIFE,0.3745,0.3745,0.3725,0.3725,0.3725,0.3706,0.3706,0.3687,0.3687,0.3687,0.3687,0.3687,0.3687,0.3706,0.371
7,SHREECEM,0.3687,0.3687,0.3687,0.3725,0.3745,0.3725,0.3725,0.3725,0.3725,0.3706,0.3706,0.3687,0.3706,0.3725,0.371
80,HDFCAMC,0.3725,0.3725,0.3725,0.3725,0.3706,0.3706,0.3706,0.3687,0.3687,0.3687,0.3687,0.3687,0.3687,0.3668,0.37
61,HEROMOTOCO,0.3687,0.3687,0.3706,0.3725,0.3725,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.3687,0.3687,0.369
49,KOTAKBANK,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.3649,0.3687,0.3706,0.3687,0.3687,0.3706,0.3687,0.369
13,RELIANCE,0.3668,0.3649,0.3668,0.3668,0.3668,0.3649,0.3649,0.3668,0.3687,0.3687,0.3668,0.3668,0.3668,0.3649,0.367
34,WIPRO,0.3687,0.3687,0.3668,0.3668,0.3649,0.3649,0.3649,0.363,0.3649,0.3668,0.3649,0.3649,0.3687,0.3725,0.367
31,ICICIGI,0.3573,0.3554,0.3554,0.3554,0.3554,0.3592,0.3611,0.3611,0.3611,0.3592,0.3611,0.3611,0.3592,0.3592,0.359
12,ASIANPAINT,0.3573,0.3573,0.3573,0.3554,0.3573,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3534,0.3534,0.3554,0.356
37,ZYDUSLIFE,0.3592,0.3592,0.3592,0.3573,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3534,0.3534,0.3534,0.3554,0.356
10,ULTRACEMCO,0.3515,0.3515,0.3515,0.3592,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3554,0.3554,0.3554,0.3573,0.355
73,NTPC,0.3534,0.3515,0.3515,0.3515,0.3515,0.3515,0.3496,0.3496,0.3496,0.3534,0.3515,0.3534,0.3554,0.3554,0.352
74,SIEMENS,0.3554,0.3554,0.3534,0.3554,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3496,0.3477,0.3477,0.3477,0.352
20,IOC,0.3534,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3496,0.3477,0.3496,0.3515,0.3515,0.3496,0.3534,0.351
1,ACC,0.3554,0.3534,0.3534,0.3534,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3477,0.3477,0.3477,0.3477,0.351
25,BHARTIARTL,0.3515,0.3496,0.3496,0.3496,0.3477,0.3477,0.3496,0.3496,0.3477,0.3477,0.3477,0.3458,0.3496,0.3496,0.349
28,HCLTECH,0.3496,0.3496,0.3515,0.3496,0.3496,0.3496,0.3477,0.3477,0.3458,0.3477,0.3458,0.3458,0.3458,0.3458,0.348
