,SYMBOL,06-JUN-2022,07-JUN-2022,08-JUN-2022,09-JUN-2022,10-JUN-2022,13-JUN-2022,14-JUN-2022,15-JUN-2022,16-JUN-2022,17-JUN-2022,20-JUN-2022,21-JUN-2022,22-JUN-2022,23-JUN-2022,V AVERAGE
30,BAJAJ-AUTO,0.3229,0.3229,0.3229,0.3229,0.321,0.321,0.3286,0.3267,0.3267,0.3267,0.3248,0.3248,0.3248,0.3286,0.325
52,CIPLA,0.3229,0.321,0.321,0.321,0.3191,0.3191,0.3191,0.3171,0.3191,0.321,0.321,0.321,0.321,0.321,0.32
82,ITC,0.3171,0.3152,0.3152,0.3152,0.3152,0.3152,0.3152,0.3133,0.3133,0.3133,0.3114,0.3133,0.3133,0.3114,0.314
45,MARICO,0.3057,0.3076,0.3076,0.3076,0.3057,0.3057,0.3057,0.3057,0.3057,0.3057,0.3076,0.3076,0.3057,0.3057,0.306
92,PGHH,0.3019,0.3019,0.2999,0.2999,0.2999,0.2999,0.2999,0.298,0.298,0.298,0.2961,0.2961,0.2942,0.2942,0.298
47,BRITANNIA,0.298,0.2999,0.2999,0.298,0.298,0.298,0.2961,0.2961,0.2961,0.2961,0.298,0.298,0.298,0.2961,0.298
18,HINDUNILVR,0.298,0.2999,0.2999,0.298,0.298,0.2961,0.2961,0.2961,0.2942,0.2942,0.2999,0.298,0.298,0.298,0.297
16,TCS,0.2904,0.2904,0.2904,0.2885,0.2904,0.2942,0.2942,0.2923,0.2942,0.2942,0.2942,0.2961,0.2942,0.2961,0.293
69,DABUR,0.2789,0.2789,0.2789,0.2789,0.277,0.277,0.277,0.277,0.2751,0.277,0.2789,0.2789,0.2789,0.2789,0.278
29,NESTLEIND,0.2713,0.2713,0.2713,0.2694,0.2694,0.2694,0.2675,0.2675,0.2675,0.2675,0.2675,0.2675,0.2675,0.2656,0.269
33,COLPAL,0.2598,0.2598,0.2598,0.2579,0.2579,0.2579,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.2541,0.257
