,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
176,BANKBARODA,2022-04-18,EQ,119.45,118.7,118.7,113.25,114.15,113.9,115.02,41375448,475913677265000.0,103785,16763970,40.52,-,0,0.539
177,BANKBARODA,2022-04-19,EQ,113.9,115.0,116.7,111.6,112.1,113.05,115.29,29839721,344030598535000.0,78424,7206599,24.15,-,0,0.539
80,PEL,2022-04-18,EQ,2283.45,2265.0,2291.4,2192.4,2223.4,2226.65,2230.86,385859,86079670880000.0,31741,132293,34.29,-,0,0.534
81,PEL,2022-04-19,EQ,2226.65,2244.0,2271.7,2180.0,2185.5,2229.4,2243.21,469074,105222973165000.0,29644,238424,50.83,-,0,0.534
130,HINDALCO,2022-04-18,EQ,546.75,544.95,555.65,537.4,545.1,545.35,543.64,7550655,410481533180000.0,130590,3659032,48.46,-,0,0.517
131,HINDALCO,2022-04-19,EQ,545.35,552.0,556.2,537.6,539.0,540.8,549.32,8143101,447318267205000.0,194652,4092437,50.25999999999999,-,0,0.517
32,ZOMATO,2022-04-18,EQ,83.9,83.7,84.4,82.55,83.2,82.9,83.27,14209908,118322020815000.02,61111,5423209,38.16,-,0,0.516
33,ZOMATO,2022-04-19,EQ,82.9,83.1,83.9,79.45,79.95,80.45,82.21,13439870,110485721025000.0,62094,5392957,40.13,-,0,0.516
120,INDIGO,2022-04-18,EQ,1899.2,1885.0,1892.45,1830.25,1878.35,1884.9,1860.03,570705,106152898965000.0,32092,170094,29.8,-,0,0.497
121,INDIGO,2022-04-19,EQ,1884.9,1899.0,1926.7,1843.25,1848.0,1869.55,1895.3,356096,67490993970000.01,17614,51641,14.499999999999998,-,0,0.497
50,TATASTEEL,2022-04-18,EQ,1319.5,1331.9,1358.05,1328.85,1340.25,1339.1,1343.07,8070042,1083862371350000.0,233360,2180780,27.02,-,0,0.496
51,TATASTEEL,2022-04-19,EQ,1339.1,1352.6,1366.65,1309.0,1315.0,1326.6,1350.88,6477219,874993097945000.1,154119,2125079,32.81,-,0,0.496
92,MINDTREE,2022-04-18,EQ,4098.95,3975.0,4020.0,3833.55,3965.0,3957.5,3919.94,2067030,810264035160000.0,147137,737683,35.69,-,0,0.491
93,MINDTREE,2022-04-19,EQ,3957.5,4049.0,4079.55,3561.75,3604.0,3635.65,3823.43,3311835,1266257335375000.0,213237,966105,29.17,-,0,0.491
86,NMDC,2022-04-18,EQ,167.6,168.0,169.7,165.7,168.4,168.25,167.9,5505568,92436448740000.0,29613,1775851,32.26,-,0,0.486
87,NMDC,2022-04-19,EQ,168.25,169.55,173.75,167.4,167.55,169.2,171.9,12122210,208379138720000.0,71304,3886647,32.06,-,0,0.486
90,NAUKRI,2022-04-18,EQ,4753.85,4724.0,4734.0,4606.0,4660.0,4666.55,4665.22,232396,108417879050000.0,30128,101135,43.52,-,0,0.486
91,NAUKRI,2022-04-19,EQ,4666.55,4726.5,4776.9,4550.0,4577.25,4611.95,4695.87,252753,118689473165000.02,35927,125096,49.49,-,0,0.486
190,APOLLOHOSP,2022-04-18,EQ,4744.45,4724.5,4744.45,4518.0,4565.0,4554.5,4598.85,579482,266495033990000.0,55016,247815,42.76,-,0,0.48
