,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
85,NAUKRI,2022-06-21,EQ,3595.7,3624.25,3684.4,3583.7,3671.95,3675.0,3638.09,381742,138881179865000.02,30607,145146,38.02,-,0,0.516
88,MINDTREE,2022-06-20,EQ,2780.35,2804.0,2819.8,2717.0,2765.0,2756.95,2747.95,443821,121959795209999.98,39206,90612,20.42,-,0,0.515
89,MINDTREE,2022-06-21,EQ,2756.95,2791.95,2893.4,2777.3,2883.2,2882.3,2857.55,459162,131207902000000.0,30980,91334,19.89,-,0,0.515
106,JSWSTEEL,2022-06-20,EQ,554.6,550.6,554.6,536.1,551.7,550.35,544.12,5614520,305498164685000.0,68982,1039666,18.52,-,0,0.51
107,JSWSTEEL,2022-06-21,EQ,550.35,556.0,580.8,552.7,574.9,576.2,568.9,4657829,264984065755000.03,51994,664277,14.26,-,0,0.51
80,NMDC,2022-06-20,EQ,108.6,108.9,108.9,101.55,104.9,104.6,103.99,10583236,110052318055000.0,50561,2721901,25.72,-,0,0.507
81,NMDC,2022-06-21,EQ,104.6,105.6,109.05,104.45,108.5,108.55,106.92,6467754,69153560000000.0,30373,1293686,20.0,-,0,0.507
116,INDIGO,2022-06-20,EQ,1631.95,1647.35,1678.3,1511.75,1555.9,1549.3,1596.36,1954116,311946491035000.0,66395,743132,38.03,-,0,0.504
117,INDIGO,2022-06-21,EQ,1549.3,1586.0,1634.9,1557.55,1630.05,1627.6,1607.37,1298081,208649699105000.0,38154,260120,20.04,-,0,0.504
104,JUBLFOOD,2022-06-20,EQ,490.55,493.05,507.8,488.0,497.0,496.9,499.8,4782123,239011241470000.0,84934,1300673,27.200000000000003,-,0,0.497
105,JUBLFOOD,2022-06-21,EQ,496.9,502.0,520.45,496.5,517.8,517.85,511.11,3394802,173511629655000.0,70293,1246046,36.7,-,0,0.497
186,APOLLOHOSP,2022-06-20,EQ,3701.25,3700.0,3825.0,3682.9,3811.0,3811.7,3760.86,673219,253188367610000.0,56429,194266,28.860000000000003,-,0,0.485
187,APOLLOHOSP,2022-06-21,EQ,3811.7,3849.95,3869.0,3794.05,3811.0,3808.2,3823.44,596024,227886095020000.0,39168,193238,32.42,-,0,0.485
76,ONGC,2022-06-20,EQ,141.45,138.6,138.9,130.0,134.6,134.4,133.67,28656582,383039270625000.0,155968,8781846,30.65,-,0,0.479
77,ONGC,2022-06-21,EQ,134.4,136.1,140.2,135.0,139.4,139.1,137.65,20581784,283302579930000.0,90896,7008224,34.05,-,0,0.479
98,LTI,2022-06-20,EQ,4003.3,4037.0,4057.5,3900.0,3974.95,3956.85,3955.69,260560,103069545265000.0,34039,69677,26.74,-,0,0.476
99,LTI,2022-06-21,EQ,3956.85,4002.0,4146.6,3980.1,4125.0,4118.45,4097.45,309393,126772282830000.0,28753,89015,28.77,-,0,0.476
52,SRF,2022-06-20,EQ,2181.85,2181.1,2206.95,2080.7,2143.0,2135.6,2130.13,855567,182246571765000.0,84856,295273,34.51,-,0,0.456
53,SRF,2022-06-21,EQ,2135.6,2160.0,2239.0,2160.0,2226.85,2226.25,2211.47,389446,86124794435000.0,28470,92808,23.83,-,0,0.456
156,COALINDIA,2022-06-20,EQ,182.65,181.9,181.9,174.75,178.0,176.85,177.9,23276003,414088226965000.0,79840,12672932,54.45000000000001,-,0,0.45
157,COALINDIA,2022-06-21,EQ,176.85,178.0,185.65,178.0,185.15,184.8,182.38,7564329,137959470795000.0,47069,1602557,21.19,-,0,0.45
168,BIOCON,2022-06-20,EQ,314.1,314.0,317.9,309.45,317.1,316.1,313.58,1642311,51499949720000.0,21283,343246,20.9,-,0,0.45
169,BIOCON,2022-06-21,EQ,316.1,317.0,326.5,313.5,325.6,325.0,322.69,1465141,47278372165000.0,19224,219459,14.980000000000002,-,0,0.45
178,BAJAJFINSV,2022-06-20,EQ,11754.85,11850.0,11850.0,11532.05,11710.0,11709.65,11702.93,242858,284214982930000.0,40801,23873,9.83,-,0,0.445
179,BAJAJFINSV,2022-06-21,EQ,11709.65,11843.8,11927.4,11679.9,11731.35,11749.9,11796.02,307918,363220744285000.0,41963,94681,30.75,-,0,0.445
182,AXISBANK,2022-06-20,EQ,635.2,635.25,637.15,622.2,630.0,628.3,630.33,5305222,334403018905000.0,114673,2134321,40.23,-,0,0.427
183,AXISBANK,2022-06-21,EQ,628.3,632.0,645.35,628.15,635.75,636.5,635.63,10333886,656850817885000.0,132166,5017813,48.56,-,0,0.427
32,UPL,2022-06-20,EQ,665.15,668.0,671.95,630.55,641.0,640.45,643.21,2523321,162303322465000.0,57542,635259,25.180000000000003,-,0,0.42
33,UPL,2022-06-21,EQ,640.45,642.25,656.95,642.25,655.75,654.2,652.25,1316846,85891121780000.0,46887,384876,29.23,-,0,0.42
146,DMART,2022-06-20,EQ,3460.55,3493.45,3536.7,3460.55,3480.0,3479.1,3491.13,222230,77583474295000.0,34786,47235,21.26,-,0,0.418
147,DMART,2022-06-21,EQ,3479.1,3520.0,3545.0,3450.0,3521.0,3519.55,3492.39,340688,118981688205000.0,42882,101623,29.83,-,0,0.418
66,PIIND,2022-06-20,EQ,2473.3,2496.0,2496.2,2442.1,2469.0,2468.5,2466.52,105586,26043007125000.0,14163,41463,39.27,-,0,0.415
67,PIIND,2022-06-21,EQ,2468.5,2486.75,2559.75,2469.25,2554.0,2548.0,2534.08,91061,23075542865000.0,12897,34152,37.5,-,0,0.415
118,ICICIPRULI,2022-06-20,EQ,507.3,509.0,511.5,497.05,501.8,501.25,504.74,583036,29428055540000.0,15332,245082,42.04,-,0,0.415
119,ICICIPRULI,2022-06-21,EQ,501.25,503.15,508.0,499.05,503.0,502.4,503.59,879407,44285966385000.0,17202,460639,52.38,-,0,0.415
