SYMBOL,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency
INDUSTOWER,EQ,269.35,269.0,275.0,262.85,268.65,268.75,269.0,13749530,369865866840000.0,96141,3050143,0.2218,0
INDUSTOWER,EQ,268.75,267.9,274.15,261.5,261.7,263.05,267.78,5364134,143642420255000.0,45956,960584,0.1791,0
INDUSINDBK,EQ,1130.0,1115.0,1132.4,1084.6,1089.0,1089.95,1110.82,2954179,328155267650000.0,72840,815838,0.2762,0
INDUSINDBK,EQ,1130.95,1137.5,1146.55,1112.35,1128.65,1130.0,1128.85,5784278,652960907110000.0,121822,1486566,0.257,0
INDIGO,EQ,2196.05,2196.05,2204.5,2141.25,2162.1,2169.5,2173.79,2860263,621761969135000.0,86169,1083150,0.3787,0
INDIGO,EQ,1979.85,1995.0,2273.95,1983.55,2190.0,2196.05,2152.7,8384566,1804947786280000.0,283720,1638398,0.1954,0
IGL,EQ,570.8,571.0,572.85,558.1,561.0,561.35,563.64,1753344,98825665360000.0,32207,842738,0.4806,0
IGL,EQ,561.35,553.15,558.4,537.5,540.0,543.45,550.83,1902041,104770085795000.0,54054,881714,0.4636,0
ICICIPRULI,EQ,699.7,702.0,707.0,692.55,701.4,703.55,700.96,977353,68508986520000.01,27558,425262,0.4351,0
ICICIPRULI,EQ,703.55,693.0,702.0,676.0,676.25,678.55,689.12,517449,35658230730000.0,18268,160381,0.3099,0
ICICIGI,EQ,1616.25,1614.9,1621.6,1600.0,1607.9,1603.95,1607.97,650250,104558035920000.0,21638,473550,0.7283,0
ICICIGI,EQ,1603.95,1589.4,1657.0,1582.0,1619.95,1628.15,1632.53,1223575,199752550385000.0,58139,543864,0.44450000000000006,0
ICICIBANK,EQ,727.2,732.9,734.4,714.0,722.35,720.15,724.14,17075003,1236473770910000.0,165525,10644923,0.6234000000000001,0
ICICIBANK,EQ,720.15,710.0,720.4,706.5,706.65,710.0,713.7,7943459,566922655090000.0,160953,4501482,0.5667,0
HINDZINC,EQ,334.9,334.0,335.5,328.0,334.5,334.75,332.41,673375,22383796060000.0,11408,334771,0.4972,0
HINDZINC,EQ,334.75,322.5,336.75,322.0,324.0,323.25,328.18,989401,32470215150000.0,17107,452716,0.4576,0
HINDUNILVR,EQ,2768.25,2770.1,2783.0,2699.0,2739.0,2722.25,2733.91,3095032,846153889585000.0,71284,2281596,0.7372,0
HINDUNILVR,EQ,2722.25,2720.0,2809.0,2710.05,2800.6,2800.35,2789.11,2671330,745064289620000.0,107246,1444396,0.5407000000000001,0
HINDPETRO,EQ,282.5,285.0,286.1,274.1,281.75,282.95,281.19,11236767,315964163905000.0,86542,5820574,0.518,0
HINDPETRO,EQ,282.95,282.0,282.0,270.1,271.3,272.5,275.79,6278700,173159602095000.0,62294,3147061,0.5012,0
HINDALCO,EQ,483.3,484.0,485.45,470.1,473.8,473.05,476.06,12113274,576667337165000.0,126897,6363141,0.5253,0
HINDALCO,EQ,473.05,462.0,464.0,442.4,444.0,444.4,451.07,18031539,813340647700000.0,209191,6450378,0.3577,0
HEROMOTOCO,EQ,2920.4,2941.0,2954.45,2896.65,2925.0,2932.1,2928.83,1024040,299923861800000.0,61845,583529,0.5698,0
HEROMOTOCO,EQ,2932.1,2920.0,2920.0,2873.55,2890.0,2889.5,2892.41,442234,127912010745000.0,32547,211187,0.47750000000000004,0
HDFCLIFE,EQ,755.15,759.0,759.6,740.0,744.5,747.75,748.62,11661592,873006075925000.0,101591,7403914,0.6349,0
HDFCLIFE,EQ,747.75,739.05,746.9,727.0,727.6,730.15,737.38,1447672,106748780320000.0,50347,696778,0.48130000000000006,0
HDFCBANK,EQ,1559.95,1569.0,1589.0,1559.2,1585.55,1582.15,1576.23,10249051,1615481117670000.0,203624,6160971,0.6011,0
HDFCBANK,EQ,1582.15,1564.0,1581.7,1558.0,1559.75,1559.85,1569.06,4390805,688943748330000.0,144006,2618610,0.5964,0
HDFCAMC,EQ,3268.8,3255.0,3259.95,3152.05,3220.0,3217.75,3216.83,620651,199652986300000.0,30636,322617,0.5197999999999999,0
HDFCAMC,EQ,3288.95,3298.0,3325.0,3232.1,3259.95,3268.8,3271.98,491747,160898865590000.0,32118,201145,0.409,0
HDFC,EQ,2812.35,2832.25,2851.95,2801.7,2823.9,2825.65,2827.14,4447386,1257339207010000.0,115382,2883353,0.6483,0
HDFC,EQ,2825.65,2795.3,2808.65,2733.0,2742.0,2742.5,2768.02,2057743,569587294270000.0,96538,1252505,0.6087,0
HAVELLS,EQ,1453.1,1458.0,1482.7,1447.1,1473.7,1471.9,1460.85,2099188,306659970890000.0,49847,1015263,0.48360000000000003,0
HAVELLS,EQ,1471.9,1460.0,1462.3,1400.0,1403.0,1407.2,1435.75,1682673,241589461490000.0,71507,747372,0.44420000000000004,0
GRASIM,EQ,1578.45,1587.25,1609.8,1562.35,1571.9,1568.8,1577.59,1956743,308692998285000.0,40673,1107314,0.5659000000000001,0
GRASIM,EQ,1568.8,1565.0,1567.55,1528.55,1540.0,1535.6,1546.7,774163,119740111465000.02,30242,366326,0.4732,0
GODREJCP,EQ,1104.7,1110.0,1112.0,1082.7,1091.0,1090.6,1093.06,1513263,165408403170000.0,45627,989845,0.6541,0
GODREJCP,EQ,1090.6,1086.0,1102.5,1072.5,1079.0,1079.65,1086.72,737707,80167974425000.0,24919,345809,0.46880000000000005,0
GICRE,EQ,147.8,147.0,147.3,144.15,146.05,145.9,146.03,773605,11296673550000.0,16549,355930,0.4601,0
GICRE,EQ,147.25,147.8,150.8,141.8,149.5,147.8,146.5,2828858,41441630510000.0,28067,1270494,0.4491,0
GAIL,EQ,157.15,156.85,159.35,153.25,154.55,154.1,155.36,19212463,298477850560000.0,65595,10918459,0.5683,0
GAIL,EQ,154.1,152.0,154.6,148.55,149.0,149.8,152.18,5998449,91282189320000.0,33558,2127047,0.3546,0
DRREDDY,EQ,4931.95,4933.0,4957.75,4869.05,4883.1,4884.55,4897.48,454830,222752306825000.0,36545,266609,0.5861999999999999,0
DRREDDY,EQ,4884.55,4875.0,4885.55,4748.2,4749.75,4774.95,4824.01,332066,160188926250000.0,35544,145850,0.43920000000000003,0
DMART,EQ,4084.5,4124.0,4294.65,4120.0,4196.7,4239.65,4207.86,767511,322957850350000.0,88311,366616,0.4777,0
DMART,EQ,4239.65,4208.0,4430.0,4151.0,4428.0,4355.9,4272.7,438432,187328648595000.0,64141,162530,0.37070000000000003,0
DLF,EQ,342.4,342.85,348.6,331.9,335.0,334.75,338.99,9901964,335669118930000.0,85966,2265610,0.2288,0
DLF,EQ,334.75,329.0,337.45,320.1,320.75,323.0,330.38,5888573,194545740675000.0,48124,1189758,0.20199999999999999,0
DABUR,EQ,640.4,641.0,655.9,640.35,655.0,653.95,650.07,2959141,192366266580000.0,55964,1183866,0.4001,0
DABUR,EQ,653.95,654.85,658.4,643.0,644.5,645.65,652.0,2804783,182873110745000.0,59104,638495,0.22760000000000002,0
CONCOR,EQ,733.05,738.0,743.8,693.15,721.0,723.65,722.93,2284382,165145867430000.0,60242,751395,0.3289,0
CONCOR,EQ,723.65,712.0,731.35,696.5,701.85,708.0,717.42,1058006,75903979865000.0,27125,237553,0.2245,0
COLPAL,EQ,1716.5,1721.0,1735.0,1710.5,1730.0,1732.55,1726.96,395997,68387118854999.99,27841,196228,0.4955,0
COLPAL,EQ,1732.55,1722.55,1740.0,1720.0,1720.7,1726.75,1729.77,236735,40949600265000.0,12710,82034,0.3465,0
COALINDIA,EQ,162.3,162.7,163.3,155.4,156.7,156.7,158.45,17317065,274392144385000.0,93922,7106562,0.4104,0
COALINDIA,EQ,156.7,155.9,157.55,152.8,153.35,154.2,155.16,12541523,194590007600000.0,68190,4664138,0.3719,0
CIPLA,EQ,954.05,953.0,953.0,929.8,934.0,938.1,939.69,2308294,216909117480000.03,53917,1531033,0.6633,0
CIPLA,EQ,954.0,960.0,962.5,948.05,953.8,954.05,955.31,2006356,191669250915000.0,43860,1120877,0.5587,0
CADILAHC,EQ,557.2,556.35,559.9,541.5,543.85,546.0,553.31,2010263,111229967905000.0,28121,830674,0.4132,0
CADILAHC,EQ,564.5,563.0,564.5,551.4,556.05,557.2,558.23,2139408,119428399590000.02,31488,868498,0.406,0
BRITANNIA,EQ,4073.05,4077.4,4115.0,4041.0,4073.0,4051.85,4059.98,621517,252334573519999.97,27336,479581,0.7716,0
BRITANNIA,EQ,4051.85,4035.0,4115.0,4000.0,4068.05,4084.5,4087.43,291097,118983866400000.0,24488,105428,0.3622,0
BPCL,EQ,439.05,441.0,442.0,432.1,435.5,436.25,437.12,12008204,524902836595000.0,131075,6771530,0.5639000000000001,0
BPCL,EQ,436.25,431.05,433.65,418.95,419.5,420.4,426.0,7372138,314052971520000.0,118332,4037912,0.5477000000000001,0
BOSCHLTD,EQ,15279.6,15387.0,15440.5,14961.35,15081.8,15076.0,15132.15,74362,112525661584999.98,20186,35864,0.4823,0
BOSCHLTD,EQ,15076.0,15060.25,15429.95,14910.1,15109.0,15154.55,15218.15,65331,99421722060000.0,16636,24170,0.37,0
BIOCON,EQ,377.4,376.0,376.0,359.0,359.85,360.4,366.91,3169722,116298780970000.0,40680,892272,0.2815,0
BIOCON,EQ,376.75,390.0,394.15,370.15,376.5,377.4,381.6,18497586,705868911305000.0,171741,4682799,0.2532,0
BHARTIARTL,EQ,728.15,725.0,733.7,720.3,721.25,724.95,727.07,14066795,1022752667100000.0,127537,7929458,0.5637,0
BHARTIARTL,EQ,718.6,721.0,734.75,721.0,729.5,728.15,726.11,26158201,1899370723080000.0,243600,11528051,0.44070000000000004,0
BERGEPAINT,EQ,833.7,833.5,837.95,814.4,822.75,818.75,822.36,1084848,89213297740000.0,27974,704196,0.6491,0
BERGEPAINT,EQ,818.75,818.3,826.15,809.75,814.55,813.55,818.63,386714,31657540614999.996,17472,121767,0.3149,0
BANKBARODA,EQ,85.9,86.55,86.65,81.25,82.4,82.3,83.44,63908701,533263786955000.0,144836,20103327,0.3146,0
BANKBARODA,EQ,82.3,81.4,82.15,78.0,78.1,78.25,80.09,30466537,244006216725000.0,75422,9298683,0.3052,0
BANDHANBNK,EQ,287.25,285.0,289.0,280.4,281.6,281.2,284.45,3408098,96943528930000.0,40737,1149132,0.3372,0
BANDHANBNK,EQ,297.65,300.05,301.35,285.55,287.0,287.25,291.04,7805954,227182501794999.97,69810,2536737,0.325,0
BAJFINANCE,EQ,7411.5,7445.5,7679.95,7360.0,7442.0,7428.8,7538.26,3474969,2619521332375000.0,203446,1275198,0.36700000000000005,0
BAJFINANCE,EQ,7428.8,7360.0,7581.0,7320.75,7428.0,7442.45,7468.86,1083806,809479965945000.0,97599,203797,0.188,0
BAJAJHLDNG,EQ,4319.25,4347.95,4923.9,4285.0,4400.3,4398.85,4643.79,845305,392541749645000.0,129051,167273,0.1979,0
BAJAJHLDNG,EQ,4398.85,4450.0,4800.0,4405.0,4496.85,4482.9,4581.7,413440,189425734470000.0,70262,41026,0.0992,0
BAJAJFINSV,EQ,16733.0,16840.0,17499.0,16750.05,16872.0,16840.2,17135.83,654951,1122312937025000.0,95813,123185,0.1881,0
BAJAJFINSV,EQ,16840.2,16775.05,17334.0,16700.1,17018.6,17018.95,17101.59,325204,556150670205000.0,58369,38441,0.1182,0
BAJAJ-AUTO,EQ,3813.5,3840.0,3879.4,3810.45,3832.0,3822.2,3842.19,1304667,501278424400000.0,67051,810251,0.621,0
BAJAJ-AUTO,EQ,3822.2,3813.4,3813.4,3735.0,3778.45,3776.05,3774.15,399648,150833136430000.0,34028,152809,0.3824,0
AXISBANK,EQ,807.35,800.0,808.55,791.5,792.95,795.85,799.65,6306484,504299912170000.0,155725,3356042,0.5322,0
AXISBANK,EQ,802.6,808.85,820.7,797.25,811.5,807.35,809.06,14641298,1184575043275000.0,189137,7147841,0.4882,0
AUROPHARMA,EQ,754.75,755.4,758.9,738.8,744.35,746.2,748.12,2364341,176880646370000.0,87175,1102929,0.46649999999999997,0
AUROPHARMA,EQ,746.2,740.0,743.65,708.0,712.0,712.4,727.69,2932150,213370017135000.0,93315,1324428,0.45170000000000005,0
ASIANPAINT,EQ,3342.1,3352.0,3382.0,3285.05,3311.0,3303.05,3324.32,1545695,513838061489999.94,61404,1045810,0.6766,0
ASIANPAINT,EQ,3303.05,3299.95,3315.0,3265.0,3273.6,3271.55,3289.84,689288,226764963585000.0,55756,357657,0.5189,0
AMBUJACEM,EQ,430.2,431.9,432.35,418.45,420.35,419.8,423.19,5274442,223211324305000.03,67488,3325215,0.6304,0
AMBUJACEM,EQ,419.8,416.9,419.2,408.25,409.0,409.8,414.17,4182620,173233358020000.0,54563,2083091,0.498,0
ALKEM,EQ,3824.95,3804.0,3820.0,3744.95,3790.0,3787.7,3781.05,110948,41950015430000.0,9524,52706,0.47509999999999997,0
ALKEM,EQ,3873.95,3873.95,3897.0,3740.15,3833.95,3824.95,3840.88,163961,62975402435000.0,19216,72682,0.44329999999999997,0
ADANIPORTS,EQ,769.65,773.3,786.0,760.0,764.2,767.1,772.6,9701785,749556299165000.0,134849,2580511,0.266,0
ADANIPORTS,EQ,767.1,759.8,776.0,746.1,747.5,748.9,761.87,5570433,424396187265000.0,84484,1093989,0.19640000000000002,0
ADANIGREEN,EQ,1169.65,1184.0,1184.0,1120.0,1153.0,1153.25,1150.45,821213,94476151340000.0,30952,640260,0.7797000000000001,0
ADANIGREEN,EQ,1153.25,1145.95,1145.95,1112.05,1121.95,1131.15,1130.71,1781350,201418517310000.0,23304,1341529,0.7531,0
ACC,EQ,2429.7,2440.0,2444.0,2372.3,2392.0,2394.85,2395.37,538103,128895319815000.02,31099,277140,0.515,0
ACC,EQ,2394.85,2378.0,2390.0,2320.0,2330.5,2325.95,2351.19,299170,70340462020000.01,13979,124172,0.41509999999999997,0
ABBOTINDIA,EQ,21004.1,20901.0,21083.0,20250.0,20549.4,20480.6,20628.02,15232,31420606214999.996,5954,5688,0.37340000000000007,0
ABBOTINDIA,EQ,20480.6,20480.5,20887.95,20161.4,20560.0,20559.3,20576.93,12344,25400156350000.0,5794,4369,0.3539,0
