,SYMBOL,02-JUN-2022,03-JUN-2022,06-JUN-2022,07-JUN-2022,08-JUN-2022,09-JUN-2022,10-JUN-2022,13-JUN-2022,14-JUN-2022,15-JUN-2022,16-JUN-2022,17-JUN-2022,20-JUN-2022,21-JUN-2022,V AVERAGE
84,ONGC,0.4776,0.4757,0.4757,0.4795,0.4776,0.4776,0.4757,0.4776,0.4757,0.4776,0.4814,0.4795,0.4834,0.4853,0.479
100,LTI,0.4776,0.4776,0.4757,0.4757,0.4738,0.4738,0.4719,0.4776,0.4776,0.4757,0.4776,0.4757,0.4757,0.4776,0.476
39,ADANIPORTS,0.4738,0.4719,0.4719,0.47,0.4681,0.4681,0.4662,0.47,0.4681,0.4681,0.4681,0.4681,0.4662,0.4681,0.469
98,BAJFINANCE,0.4604,0.4585,0.4585,0.4585,0.4566,0.4566,0.4585,0.4623,0.4623,0.4623,0.4643,0.4643,0.4623,0.4623,0.461
59,SRF,0.4585,0.4566,0.4566,0.4566,0.4566,0.4566,0.4547,0.4547,0.4528,0.4528,0.4566,0.4547,0.4547,0.4566,0.456
60,COALINDIA,0.4528,0.4509,0.4509,0.449,0.449,0.4471,0.4471,0.449,0.4471,0.4471,0.4509,0.4509,0.4509,0.4547,0.45
4,BIOCON,0.4528,0.4509,0.449,0.449,0.4471,0.4528,0.4509,0.4509,0.4509,0.449,0.449,0.449,0.4471,0.4471,0.45
91,BAJAJFINSV,0.4432,0.4432,0.4413,0.4413,0.4394,0.4394,0.4394,0.449,0.4471,0.449,0.4509,0.4509,0.449,0.449,0.445
78,AXISBANK,0.4318,0.4318,0.4299,0.4299,0.4299,0.428,0.426,0.426,0.426,0.4241,0.4241,0.4241,0.4222,0.4222,0.427
15,UPL,0.4203,0.4184,0.4184,0.4203,0.4203,0.4203,0.4203,0.4184,0.4184,0.4165,0.4203,0.4203,0.4222,0.4222,0.42
38,DMART,0.4203,0.4184,0.4184,0.4184,0.4165,0.4165,0.4165,0.4184,0.4165,0.4165,0.4146,0.4222,0.4203,0.4203,0.418
22,ICICIPRULI,0.4146,0.4146,0.4146,0.4146,0.4146,0.4165,0.4165,0.4165,0.4165,0.4165,0.4146,0.4146,0.4146,0.4127,0.415
85,PIIND,0.4184,0.4184,0.4165,0.4184,0.4165,0.4165,0.4146,0.4127,0.4127,0.4127,0.4127,0.4146,0.4127,0.4146,0.415
97,GAIL,0.4146,0.4146,0.4127,0.4127,0.4108,0.4108,0.4108,0.4108,0.4088,0.4088,0.4127,0.4108,0.4184,0.4203,0.413
53,BAJAJHLDNG,0.4088,0.4069,0.4069,0.405,0.405,0.4031,0.4031,0.4012,0.4012,0.4012,0.4031,0.4108,0.4108,0.4108,0.406
54,MUTHOOTFIN,0.4069,0.4069,0.4069,0.4069,0.405,0.405,0.405,0.405,0.4031,0.4031,0.4012,0.4031,0.4031,0.4031,0.405
11,GODREJCP,0.4069,0.4069,0.405,0.405,0.405,0.405,0.4031,0.4031,0.4031,0.4012,0.4012,0.4012,0.405,0.4031,0.404
14,GLAND,0.4088,0.4069,0.4069,0.4069,0.405,0.4031,0.4031,0.4031,0.4031,0.4012,0.4012,0.4012,0.4012,0.4031,0.404
62,TECHM,0.3993,0.3974,0.3974,0.3955,0.3955,0.3955,0.3955,0.4012,0.4012,0.3993,0.4031,0.4031,0.4031,0.4031,0.399
64,MCDOWELL-N,0.3993,0.3993,0.3993,0.3974,0.3974,0.3974,0.3974,0.3955,0.3955,0.3955,0.3955,0.3955,0.3955,0.3955,0.397
44,GRASIM,0.3897,0.3993,0.3974,0.3974,0.3955,0.3955,0.3955,0.3955,0.3955,0.3936,0.3955,0.3955,0.3955,0.3955,0.395
68,SBICARD,0.3955,0.3936,0.3936,0.3936,0.3936,0.3936,0.3917,0.3955,0.3936,0.3936,0.3936,0.3955,0.3936,0.4031,0.395
79,SBIN,0.3974,0.3974,0.3955,0.3955,0.3955,0.3936,0.3936,0.3955,0.3936,0.3936,0.3936,0.3936,0.3917,0.3936,0.395
2,AMBUJACEM,0.3993,0.3993,0.3974,0.3974,0.3955,0.3955,0.3936,0.3936,0.3917,0.3917,0.3897,0.3897,0.3878,0.3878,0.394
48,LUPIN,0.3974,0.3974,0.3955,0.3955,0.3936,0.3936,0.3917,0.3917,0.3917,0.3897,0.3897,0.3897,0.3878,0.3897,0.392
26,BOSCHLTD,0.3936,0.3936,0.3936,0.3936,0.3917,0.3917,0.3917,0.3917,0.3897,0.3897,0.3897,0.3897,0.3878,0.3897,0.391
51,M&M,0.3936,0.3936,0.3936,0.3917,0.3917,0.3897,0.3897,0.3897,0.3897,0.3897,0.3897,0.3878,0.3878,0.3878,0.39
67,TORNTPHARM,0.3936,0.3936,0.3917,0.3917,0.3897,0.3917,0.3897,0.3897,0.3878,0.3878,0.3878,0.3859,0.3859,0.3859,0.389
58,HAVELLS,0.3878,0.3878,0.3878,0.3859,0.3859,0.3859,0.3859,0.3859,0.3878,0.3878,0.3878,0.3878,0.3859,0.3878,0.387
21,HDFC,0.3897,0.3897,0.3878,0.3878,0.3859,0.3859,0.3878,0.3878,0.3878,0.3859,0.3859,0.3859,0.3878,0.3878,0.387
5,BPCL,0.3821,0.3821,0.3821,0.3821,0.3802,0.3821,0.3802,0.384,0.3821,0.3821,0.3802,0.3821,0.3821,0.3821,0.382
90,ICICIBANK,0.384,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.384,0.384,0.3821,0.3821,0.3821,0.3802,0.3802,0.382
9,MARUTI,0.3859,0.3859,0.3859,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3802,0.3783,0.3783,0.3783,0.3764,0.382
50,DIVISLAB,0.3859,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3802,0.3802,0.3783,0.3783,0.3783,0.3783,0.3783,0.381
42,TITAN,0.3783,0.3783,0.3764,0.3821,0.3802,0.3802,0.3783,0.3783,0.3783,0.3764,0.3764,0.3859,0.384,0.3917,0.38
8,EICHERMOT,0.3821,0.3821,0.3802,0.3802,0.3783,0.3802,0.3783,0.3783,0.3764,0.3764,0.3764,0.3764,0.3764,0.3764,0.378
7,SHREECEM,0.3687,0.3725,0.3745,0.3725,0.3725,0.3725,0.3725,0.3706,0.3706,0.3687,0.3706,0.3725,0.3725,0.3725,0.372
19,TATACONSUM,0.3745,0.3745,0.3725,0.3725,0.3725,0.3706,0.3706,0.3706,0.3706,0.3687,0.3687,0.3687,0.3687,0.3668,0.371
17,HDFCLIFE,0.3725,0.3725,0.3725,0.3706,0.3706,0.3687,0.3687,0.3687,0.3687,0.3687,0.3687,0.3706,0.3687,0.3706,0.37
80,HDFCAMC,0.3725,0.3725,0.3706,0.3706,0.3706,0.3687,0.3687,0.3687,0.3687,0.3687,0.3687,0.3668,0.3668,0.3687,0.369
61,HEROMOTOCO,0.3706,0.3725,0.3725,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.3687,0.3687,0.3687,0.3687,0.369
49,KOTAKBANK,0.3687,0.3687,0.3668,0.3668,0.3668,0.3649,0.3687,0.3706,0.3687,0.3687,0.3706,0.3687,0.3687,0.3668,0.368
34,WIPRO,0.3668,0.3668,0.3649,0.3649,0.3649,0.363,0.3649,0.3668,0.3649,0.3649,0.3687,0.3725,0.3725,0.3725,0.367
13,RELIANCE,0.3668,0.3668,0.3668,0.3649,0.3649,0.3668,0.3687,0.3687,0.3668,0.3668,0.3668,0.3649,0.3649,0.3649,0.366
31,ICICIGI,0.3554,0.3554,0.3554,0.3592,0.3611,0.3611,0.3611,0.3592,0.3611,0.3611,0.3592,0.3592,0.3592,0.3592,0.359
10,ULTRACEMCO,0.3515,0.3592,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3554,0.3554,0.3554,0.3573,0.3573,0.3573,0.356
12,ASIANPAINT,0.3573,0.3554,0.3573,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3534,0.3534,0.3554,0.3554,0.3554,0.356
37,ZYDUSLIFE,0.3592,0.3573,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3534,0.3534,0.3534,0.3554,0.3534,0.3554,0.356
73,NTPC,0.3515,0.3515,0.3515,0.3515,0.3496,0.3496,0.3496,0.3534,0.3515,0.3534,0.3554,0.3554,0.3554,0.3554,0.352
20,IOC,0.3534,0.3515,0.3515,0.3496,0.3496,0.3496,0.3477,0.3496,0.3515,0.3515,0.3496,0.3534,0.3515,0.3534,0.351
74,SIEMENS,0.3534,0.3554,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3496,0.3477,0.3477,0.3477,0.3477,0.3477,0.35
1,ACC,0.3534,0.3534,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3477,0.3477,0.3477,0.3477,0.3458,0.3458,0.35
25,BHARTIARTL,0.3496,0.3496,0.3477,0.3477,0.3496,0.3496,0.3477,0.3477,0.3477,0.3458,0.3496,0.3496,0.3496,0.3496,0.349
28,HCLTECH,0.3515,0.3496,0.3496,0.3496,0.3477,0.3477,0.3458,0.3477,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.347
65,SBILIFE,0.3458,0.3458,0.3458,0.3439,0.3439,0.3439,0.3439,0.3439,0.342,0.342,0.342,0.342,0.342,0.342,0.343
81,POWERGRID,0.3458,0.3458,0.3439,0.3439,0.3439,0.342,0.342,0.3401,0.3401,0.3401,0.3401,0.3401,0.3401,0.3401,0.342
36,BERGEPAINT,0.342,0.342,0.3439,0.3439,0.3439,0.342,0.342,0.342,0.3401,0.3401,0.3401,0.3401,0.342,0.3401,0.342
46,HDFCBANK,0.3439,0.342,0.342,0.342,0.3401,0.3401,0.3401,0.3401,0.3401,0.3382,0.3382,0.3382,0.3382,0.3382,0.34
87,LT,0.3401,0.3382,0.3382,0.3401,0.3382,0.3382,0.3382,0.3401,0.3401,0.3382,0.3382,0.3401,0.3401,0.3401,0.339
27,INFY,0.3401,0.3401,0.3382,0.3382,0.3382,0.3362,0.3382,0.3401,0.3401,0.3401,0.3401,0.3382,0.3401,0.3401,0.339
71,SUNPHARMA,0.3343,0.3324,0.3324,0.3324,0.3305,0.3305,0.3305,0.3305,0.3305,0.3286,0.3286,0.3305,0.3305,0.3286,0.331
23,PIDILITIND,0.3267,0.3286,0.3286,0.3286,0.3267,0.3267,0.3267,0.3248,0.3248,0.3248,0.3229,0.3286,0.3362,0.3343,0.328
24,DRREDDY,0.3248,0.3248,0.3248,0.3267,0.3267,0.3286,0.3286,0.3286,0.3286,0.3267,0.3267,0.3286,0.3286,0.3286,0.327
30,BAJAJ-AUTO,0.321,0.3191,0.3229,0.3229,0.3229,0.3229,0.321,0.321,0.3286,0.3267,0.3267,0.3267,0.3248,0.3248,0.324
52,CIPLA,0.321,0.3229,0.3229,0.321,0.321,0.321,0.3191,0.3191,0.3191,0.3171,0.3191,0.321,0.321,0.321,0.32
82,ITC,0.3171,0.3171,0.3171,0.3152,0.3152,0.3152,0.3152,0.3152,0.3152,0.3133,0.3133,0.3133,0.3114,0.3133,0.315
45,MARICO,0.3076,0.3076,0.3057,0.3076,0.3076,0.3076,0.3057,0.3057,0.3057,0.3057,0.3057,0.3057,0.3076,0.3076,0.307
92,PGHH,0.2999,0.3019,0.3019,0.3019,0.2999,0.2999,0.2999,0.2999,0.2999,0.298,0.298,0.298,0.2961,0.2961,0.299
47,BRITANNIA,0.298,0.298,0.298,0.2999,0.2999,0.298,0.298,0.298,0.2961,0.2961,0.2961,0.2961,0.298,0.298,0.298
18,HINDUNILVR,0.298,0.298,0.298,0.2999,0.2999,0.298,0.298,0.2961,0.2961,0.2961,0.2942,0.2942,0.2999,0.298,0.297
16,TCS,0.2904,0.2904,0.2904,0.2904,0.2904,0.2885,0.2904,0.2942,0.2942,0.2923,0.2942,0.2942,0.2942,0.2961,0.292
69,DABUR,0.2789,0.2789,0.2789,0.2789,0.2789,0.2789,0.277,0.277,0.277,0.277,0.2751,0.277,0.2789,0.2789,0.278
29,NESTLEIND,0.2713,0.2713,0.2713,0.2713,0.2713,0.2694,0.2694,0.2694,0.2675,0.2675,0.2675,0.2675,0.2675,0.2675,0.269
33,COLPAL,0.2598,0.2598,0.2598,0.2598,0.2598,0.2579,0.2579,0.2579,0.256,0.256,0.256,0.256,0.256,0.256,0.258
